timestamp,episode,time_step,current_ep_reward,rolling_avg_reward,episode_successes,rolling_success_ratio,avg_steps_recent,avg_deviation_recent,val_success,best_val_success,policy_loss,value_loss,entropy,approx_kl,clip_fraction,oracle_bc_loss,sil_loss,update_epochs_ran,actor_lr,critic_lr,reward_factor,reward_mode,progress_metric,elapsed_sec
2026-05-20T06:52:26.457359,0,1090,-884.0,-884.0,16,0.08695652173913043,2.375,1.0,3,3,-0.00571596027584742,1.014062076807022,1.1393778920173645,0.0017868784605525427,0.0,0.0,0.0,4,9.999000000000001e-05,9.999000000000001e-05,1.0,ex,l2sq,62.93327069282532
2026-05-20T06:53:00.074270,1,2196,-893.0,-888.5,21,0.10054347826086957,2.6216216216216215,1.027027027027027,3,3,-0.002414064176264219,1.0102546215057373,1.1537213176488876,0.0003541631060215867,0.0,0.0,0.0,4,9.997500199995001e-05,9.997500199995001e-05,1.0,ex,l2sq,96.61116933822632
2026-05-20T06:53:55.425263,2,3360,-927.0,-927.0,17,0.09782608695652174,2.888888888888889,1.0740740740740742,5,5,-0.0024262763705337753,0.9757404252886772,1.12710502743721,-0.000256486291186775,0.0,0.0,0.0,4,9.995500799930005e-05,9.995500799930005e-05,1.0,ex,l2sq,151.96189260482788
2026-05-20T06:54:29.552532,3,4489,-872.0,-899.5,21,0.10190217391304347,3.013333333333333,1.1466666666666667,5,5,-0.0010546418030571991,1.026825100183487,1.1155758947134018,0.0003317902406024635,0.0,0.0,0.0,4,9.993501799725028e-05,9.993501799725028e-05,1.0,ex,l2sq,186.0894513130188
2026-05-20T06:55:05.878011,4,5559,-859.0,-859.0,21,0.10434782608695652,3.0729166666666665,1.1875,4,5,-0.0010535970446654552,0.9818417876958847,1.1042424440383911,2.418958683858552e-06,0.0,0.0,0.0,4,9.992002799440073e-05,9.992002799440073e-05,1.0,ex,l2sq,222.4150002002716
2026-05-20T06:55:39.600607,5,6685,-900.0,-879.5,16,0.10144927536231885,3.3035714285714284,1.25,5,5,-0.0011596136180742067,1.0267926305532455,1.0933569818735123,-0.00011408282443881035,0.0,0.0,0.0,4,9.990504048980171e-05,9.990504048980171e-05,1.0,ex,l2sq,256.13750648498535
2026-05-20T06:56:25.357777,6,7839,-908.0,-908.0,22,0.10403726708074534,3.3955223880597014,1.328358208955224,5,5,-0.0016569169718422955,1.01827272772789,1.1023441404104233,0.0005470640924613752,0.0,0.0,0.0,4,9.988506048075416e-05,9.988506048075416e-05,1.0,ex,l2sq,301.8945095539093
2026-05-20T06:56:57.374581,7,8918,-821.0,-864.5,22,0.10597826086956522,3.467948717948718,1.3333333333333333,5,5,-0.0011893704737303556,0.971720889210701,1.0987798273563385,0.0010321379959350452,0.0,0.0,0.0,4,9.987007797140718e-05,9.987007797140718e-05,1.0,ex,l2sq,333.91154623031616
2026-05-20T06:57:46.759709,8,10016,-848.0,-848.0,24,0.10869565217391304,3.466666666666667,1.3333333333333333,5,5,-0.0018320272371055157,1.005756862461567,1.0713515728712082,0.000781089132942725,0.0,0.0,0.0,4,9.985509795906185e-05,9.985509795906185e-05,1.0,ex,l2sq,383.29641795158386
2026-05-20T06:58:17.751034,9,11052,-794.0,-821.0,22,0.10978260869565218,3.41,1.32,5,5,-0.0013458319168421218,1.0002706497907639,1.0885083228349686,0.0002099903919998286,0.0,0.0,0.0,4,9.983512793802104e-05,9.983512793802104e-05,1.0,ex,l2sq,414.2879853248596
2026-05-20T06:59:00.323876,10,12118,-761.0,-761.0,27,0.11314229249011858,3.66,1.39,5,5,-0.0019866704824380577,1.0129337310791016,1.0970176756381989,0.00017571378939465476,0.0,0.0,0.0,4,9.982015291843063e-05,9.982015291843063e-05,1.0,ex,l2sq,456.8606700897217
