mode,grid,budget,distances,method,method_key,raw_method_label,success_ratio,sg_mean,d10,d11,d12,d13,d14,d15,d16,d17,d18,num_images,num_tasks,checkpoint
full,8x8,24,"10,11,12,13,14",GOMAA-Geo,gomaa,GOMAA-Geo,0.679,1.345,0.48,0.525,0.7,0.87,0.82,nan,nan,nan,nan,10,1000,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_ppo_seed42_t480k/formal_ppo.pt
full,8x8,24,"10,11,12,13,14",GeoExplorer,pristine,GeoExplorer-pristine,0.368,3.046,0.385,0.385,0.34,0.415,0.315,nan,nan,nan,nan,10,1000,/root/geoexplorer/results/checkpoint/algo_dualseed480k_20260427/masa_plus_mmgag_arena_pristine_a040_a0405_sine0405_dualseed480k/wave2_seed321_4gpu/pristine_seed321_t480k/geoexplorer.pt
full,8x8,24,"10,11,12,13,14",本文方法,anchor0624,GeoExplorer-anchor0624,0.746,0.859,0.51,0.66,0.79,0.845,0.925,nan,nan,nan,nan,10,1000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p1_e1_v1_seed321_t480k/geoexplorer.pt
full,10x10,32,"14,15,16,17,18",GOMAA-Geo,gomaa,GOMAA-Geo,0.629,1.801,nan,nan,nan,nan,0.535,0.475,0.625,0.75,0.76,10,1000,/root/src/compare_baselines_bundle_20260505_v2/compare_baselines_bundle/gomaa_geo_official/gomaa_geo/checkpoint/formal_ppo_seed42_t480k/formal_ppo.pt
full,10x10,32,"14,15,16,17,18",GeoExplorer,pristine,GeoExplorer-pristine,0.3,4.677,nan,nan,nan,nan,0.335,0.385,0.335,0.22,0.225,10,1000,/root/geoexplorer/results/checkpoint/algo_dualseed480k_20260427/masa_plus_mmgag_arena_pristine_a040_a0405_sine0405_dualseed480k/wave2_seed321_4gpu/pristine_seed321_t480k/geoexplorer.pt
full,10x10,32,"14,15,16,17,18",本文方法,anchor0624,GeoExplorer-anchor0624,0.748,0.736,nan,nan,nan,nan,0.54,0.675,0.755,0.885,0.885,10,1000,/root/geoexplorer/results/checkpoint/algo_ablation_anchor0624_20260515/masa_plus_mmgag_anchor0624_component_ablation_seed321_480k_gpu01/g1_p1_e1_v1_seed321_t480k/geoexplorer.pt
