family,value,run,group,trainset_key,seed,target_steps,mean_all_sr,mean_transfer_sr,masa_aerial,mmgag_aerial,mmgag_ground,mmgag_text,swissview100_aerial,swissviewmonuments_aerial,swissviewmonuments_ground,xbd_pre_aerial,xbd_disaster_aerial,checkpoint
training_dataset,MASA+MM-GAG,dataset_masa_plus_mmgag_seed321_t480k,dataset,masa_plus_mmgag,321,480000,0.576542,0.542198,0.620000,0.612766,0.610213,0.605106,0.572000,0.505882,0.499608,0.580000,0.583300,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_mmgag_seed321_t480k/geoexplorer.pt
training_dataset,MASA+SwissView100,dataset_masa_plus_swissview_seed321_t480k,dataset,masa_plus_swissview,321,480000,0.538943,0.519610,0.584000,0.531064,0.526809,0.502979,0.627200,0.504314,0.501176,0.534450,0.538500,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_swissview_seed321_t480k/geoexplorer.pt
training_dataset,MASA+MM-GAG+SwissView100,dataset_all_three_seed321_t480k,dataset,all_three,321,480000,0.505977,0.487911,0.544000,0.497872,0.503830,0.480851,0.575600,0.456471,0.498824,0.496550,0.499800,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_all_three_seed321_t480k/geoexplorer.pt
training_dataset,MM-GAG+SwissView100,dataset_mmgag_plus_swissview_seed321_t480k,dataset,mmgag_plus_swissview,321,480000,0.505989,0.484629,0.440000,0.502979,0.491064,0.475745,0.705600,0.450980,0.468235,0.512000,0.507300,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_mmgag_plus_swissview_seed321_t480k/geoexplorer.pt
training_dataset,SwissView100,dataset_swissview_only_seed321_t480k,dataset,swissview_only,321,480000,0.459389,0.433997,0.392000,0.425532,0.442553,0.420426,0.718000,0.394510,0.423529,0.470450,0.447500,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_swissview_only_seed321_t480k/geoexplorer.pt
training_dataset,MASA,dataset_masa_only_seed321_t480k,dataset,masa_only,321,480000,0.423045,0.428273,0.416000,0.433191,0.442553,0.416170,0.386400,0.431373,0.456471,0.411250,0.414000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_only_seed321_t480k/geoexplorer.pt
training_dataset,MM-GAG,dataset_mmgag_only_seed321_t480k,dataset,mmgag_only,321,480000,0.432853,0.421331,0.464000,0.467234,0.449362,0.442553,0.387200,0.421961,0.424314,0.406450,0.432600,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_mmgag_only_seed321_t480k/geoexplorer.pt
