run,group,trainset_key,seed,target_steps,benchmark,sr,sg,d4,d5,d6,d7,d8,checkpoint
dataset_mmgag_only_seed321_t480k,dataset,mmgag_only,321,480000,xbd_pre_aerial,0.40645,2.14185,0.31725,0.37575,0.468,0.476,0.39525,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_mmgag_only_seed321_t480k/geoexplorer.pt
dataset_mmgag_only_seed321_t480k,dataset,mmgag_only,321,480000,xbd_disaster_aerial,0.4326,2.03345,0.334,0.3935,0.47925,0.50025,0.456,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_mmgag_only_seed321_t480k/geoexplorer.pt
dataset_swissview_only_seed321_t480k,dataset,swissview_only,321,480000,masa_aerial,0.392,2.428,0.24,0.36,0.48,0.42,0.46,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_swissview_only_seed321_t480k/geoexplorer.pt
dataset_swissview_only_seed321_t480k,dataset,swissview_only,321,480000,mmgag_aerial,0.425531914893617,2.333617021276596,0.33191489361702126,0.3574468085106383,0.44680851063829785,0.5106382978723404,0.4808510638297872,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_swissview_only_seed321_t480k/geoexplorer.pt
dataset_swissview_only_seed321_t480k,dataset,swissview_only,321,480000,mmgag_ground,0.4425531914893617,2.34468085106383,0.33191489361702126,0.39148936170212767,0.5063829787234042,0.5404255319148936,0.4425531914893617,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_swissview_only_seed321_t480k/geoexplorer.pt
dataset_swissview_only_seed321_t480k,dataset,swissview_only,321,480000,mmgag_text,0.4204255319148936,2.3395744680851065,0.3702127659574468,0.35319148936170214,0.4978723404255319,0.425531914893617,0.4553191489361702,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_swissview_only_seed321_t480k/geoexplorer.pt
dataset_swissview_only_seed321_t480k,dataset,swissview_only,321,480000,swissview100_aerial,0.718,0.9684,0.48,0.566,0.77,0.892,0.882,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_swissview_only_seed321_t480k/geoexplorer.pt
dataset_swissview_only_seed321_t480k,dataset,swissview_only,321,480000,swissviewmonuments_aerial,0.39450980392156865,2.3027450980392157,0.30666666666666664,0.31666666666666665,0.49,0.5333333333333333,0.5166666666666667,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_swissview_only_seed321_t480k/geoexplorer.pt
dataset_swissview_only_seed321_t480k,dataset,swissview_only,321,480000,swissviewmonuments_ground,0.4235294117647059,2.151372549019608,0.33866666666666667,0.35555555555555557,0.5233333333333333,0.5277777777777778,0.55,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_swissview_only_seed321_t480k/geoexplorer.pt
dataset_swissview_only_seed321_t480k,dataset,swissview_only,321,480000,xbd_pre_aerial,0.47045,2.13785,0.3395,0.3825,0.51075,0.58025,0.53925,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_swissview_only_seed321_t480k/geoexplorer.pt
