family,value,run,group,trainset_key,seed,target_steps,mean_all_sg,mean_transfer_sg,masa_aerial,mmgag_aerial,mmgag_ground,mmgag_text,swissview100_aerial,swissviewmonuments_aerial,swissviewmonuments_ground,xbd_pre_aerial,xbd_disaster_aerial,checkpoint
training_dataset,MASA+MM-GAG,dataset_masa_plus_mmgag_seed321_t480k,dataset,masa_plus_mmgag,321,480000,1.288517,1.407017,1.160000,1.142128,1.154894,1.172766,1.338800,1.512941,1.528627,1.305600,1.280900,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_mmgag_seed321_t480k/geoexplorer.pt
training_dataset,MASA+SwissView100,dataset_masa_plus_swissview_seed321_t480k,dataset,masa_plus_swissview,321,480000,1.459044,1.521359,1.256000,1.543830,1.509787,1.592340,1.144000,1.581961,1.538824,1.469950,1.494700,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_plus_swissview_seed321_t480k/geoexplorer.pt
training_dataset,MASA+MM-GAG+SwissView100,dataset_all_three_seed321_t480k,dataset,all_three,321,480000,1.787709,1.859143,1.548000,1.810213,1.737872,1.858723,1.698000,1.928627,1.810196,1.847050,1.850700,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_all_three_seed321_t480k/geoexplorer.pt
training_dataset,MM-GAG+SwissView100,dataset_mmgag_plus_swissview_seed321_t480k,dataset,mmgag_plus_swissview,321,480000,1.859872,1.912795,2.248000,1.866383,1.936170,1.971915,1.065200,1.982745,1.908235,1.889550,1.870650,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_mmgag_plus_swissview_seed321_t480k/geoexplorer.pt
training_dataset,SwissView100,dataset_swissview_only_seed321_t480k,dataset,swissview_only,321,480000,2.137127,2.204967,2.428000,2.333617,2.344681,2.339574,0.968400,2.302745,2.151373,2.137850,2.227900,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_swissview_only_seed321_t480k/geoexplorer.pt
training_dataset,MASA,dataset_masa_only_seed321_t480k,dataset,masa_only,321,480000,2.111382,2.053718,2.096000,2.085957,2.040000,2.126809,2.438800,1.991373,1.865098,2.188450,2.169950,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_masa_only_seed321_t480k/geoexplorer.pt
training_dataset,MM-GAG,dataset_mmgag_only_seed321_t480k,dataset,mmgag_only,321,480000,2.024825,2.062845,1.796000,1.874043,1.973617,1.986383,2.342000,2.050980,2.025098,2.141850,2.033450,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_dataset_param_appendix/dataset_mmgag_only_seed321_t480k/geoexplorer.pt
