method_key,distance,success,n,path_length,final_distance,sum_external,sum_intrinsic_raw,sum_intrinsic_gated,sum_pbrs,sum_total,mean_gate,first_gate,last_gate
g0_p1_e1_v1,6,False,2,10.0,4.0,-2.0,4.000073373317717,4.000073373317717,0.05824999999999997,2.0583233733177173,1.0,1.0,1.0
g0_p1_e1_v1,6,True,1,10.0,0.0,5.0,-0.12069106101989968,-0.12069106101989968,0.09687499999999998,4.9761839389801015,1.0,1.0,1.0
g0_p1_e1_v1,8,False,2,10.0,2.0,4.0,3.4804905951023084,3.4804905951023084,0.10474999999999998,7.585240595102309,1.0,1.0,1.0
g1_p0_e0_v0,4,False,2,10.0,5.0,-4.0,0.25768131017684714,0.2308721077814679,0.0,-3.769127892218532,0.8586875,0.8512500000000001,0.8512500000000001
g1_p0_e0_v0,6,False,2,10.0,3.0,0.0,3.0712375044822675,2.462265953967967,0.0,2.4622659539679668,0.8215,0.9504166666666667,0.7024999999999999
g1_p0_e0_v0,6,True,1,6.0,0.0,7.0,-0.6446709036827101,-0.3710212823251891,0.0,6.628978717674812,0.6529166666666667,0.9008333333333334,0.405
g1_p0_e0_v0,8,False,1,10.0,2.0,4.0,4.282871186733245,2.897779508642851,0.0,6.897779508642851,0.6504375,0.925625,0.55375
g1_p0_e0_v0,8,True,1,8.0,0.0,9.0,2.4590784907340986,1.7056750397011626,0.0,10.705675039701163,0.6653125,0.925625,0.405
g1_p0_e0_v1,4,False,1,10.0,6.0,-8.0,0.6105378270149209,0.5386511323600987,0.0,-7.4613488676399005,0.985125,0.8512500000000001,1.0
g1_p0_e0_v1,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.41408695578575083,0.0,5.41408695578575,0.628125,0.8512500000000001,0.405
g1_p0_e0_v1,6,False,2,10.0,2.0,2.0,1.7633742094039897,1.2392964457223796,0.0,3.2392964457223794,0.6925833333333333,0.9008333333333334,0.6033333333333333
g1_p0_e0_v1,6,True,1,6.0,0.0,7.0,1.7731649875640856,1.2162409862875927,0.0,8.216240986287593,0.6529166666666667,0.9008333333333334,0.405
g1_p0_e0_v1,8,True,2,8.0,0.0,9.0,2.9997763633728014,2.070489118695258,0.0,11.070489118695257,0.6653125,0.925625,0.405
g1_p0_e1_v0,4,False,1,10.0,4.0,-6.0,0.9703230857849099,0.800212108939884,0.0,-5.199787891060115,0.9405,0.8512500000000001,1.0
g1_p0_e1_v0,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.41408695578575083,0.0,5.41408695578575,0.628125,0.8512500000000001,0.405
g1_p0_e1_v0,6,True,3,6.666666666666667,0.0,7.0,1.2941307822863246,0.9283778733180618,0.0,7.9283778733180625,0.6694444444444445,0.9008333333333334,0.405
g1_p0_e1_v0,8,False,2,10.0,4.0,2.0,3.5560122132301317,2.6029009727388606,0.0,4.60290097273886,0.7248125,0.925625,0.7025
g1_p0_e1_v1,4,False,1,10.0,6.0,-8.0,0.06846964359283225,0.004299886450169321,0.0,-7.995700113549829,0.9702500000000001,0.8512500000000001,1.0
g1_p0_e1_v1,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.41408695578575083,0.0,5.41408695578575,0.628125,0.8512500000000001,0.405
g1_p0_e1_v1,6,False,2,10.0,4.0,-1.0,3.499357402324675,2.665360584755737,0.0,1.6653605847557365,0.762,0.9008333333333334,0.8016666666666666
g1_p0_e1_v1,6,True,1,6.0,0.0,7.0,-0.15503722429275646,-0.055532005081574964,0.0,6.944467994918425,0.6529166666666667,0.9008333333333334,0.405
g1_p0_e1_v1,8,True,2,8.0,0.0,9.0,3.0355790853500353,2.108365864381193,0.0,11.108365864381193,0.6653125,0.925625,0.405
g1_p1_e0_v0,4,False,1,10.0,4.0,-6.0,0.6651368737220742,0.5271720807254294,0.02887499999999999,-5.44395291927457,0.895875,0.8512500000000001,1.0
g1_p1_e0_v0,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.41408695578575083,0.055249999999999994,5.469336955785751,0.628125,0.8512500000000001,0.405
g1_p1_e0_v0,6,False,1,10.0,8.0,-2.0,2.7732694149017316,2.3435776766141236,0.01612499999999997,0.35970267661412336,0.8413333333333334,0.9008333333333334,1.0
g1_p1_e0_v0,6,True,2,8.0,0.0,6.0,1.6455437839031204,1.191254409626125,0.09424999999999999,7.285504409626126,0.67275,0.9008333333333334,0.405
g1_p1_e0_v0,8,False,1,10.0,2.0,4.0,2.472769916057585,1.7292394030466662,0.10387499999999997,5.833114403046665,0.6504375,0.925625,0.55375
g1_p1_e0_v0,8,True,1,8.0,0.0,9.0,3.540128529071807,2.4759820210561143,0.12449999999999999,11.600482021056113,0.6653125,0.925625,0.405
g1_p1_e0_v1,4,False,2,10.0,5.0,-5.0,0.05632638931274192,0.030113744139669385,0.02249999999999997,-4.94738625586033,0.8735625,0.8512500000000001,0.8512500000000001
g1_p1_e0_v1,6,False,1,10.0,4.0,-4.0,2.8989386558532697,2.4213738783697267,0.06262499999999999,-1.5160011216302731,0.8314166666666667,0.9008333333333334,0.8016666666666666
g1_p1_e0_v1,6,True,2,7.0,0.0,7.0,1.0546136796474441,0.7844463168332964,0.09206249999999999,7.876508816833296,0.6777083333333334,0.9008333333333334,0.405
g1_p1_e0_v1,8,False,1,10.0,4.0,0.0,2.7724584937095624,2.102329619228838,0.08937499999999997,2.191704619228838,0.7396875,0.925625,0.7025
g1_p1_e0_v1,8,True,1,8.0,0.0,9.0,3.3133620619773856,2.3259407994151107,0.12449999999999999,11.45044079941511,0.6653125,0.925625,0.405
g1_p1_e1_v0,4,False,1,10.0,4.0,-10.0,0.6607618927955605,0.645806029587982,0.048124999999999966,-9.306068970412019,0.985125,1.0,1.0
g1_p1_e1_v0,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.41408695578575083,0.055249999999999994,5.469336955785751,0.628125,0.8512500000000001,0.405
g1_p1_e1_v0,6,False,2,10.0,4.0,-2.0,3.6144682765007006,2.8207370492070893,0.059124999999999976,0.879862049207089,0.79175,0.9008333333333334,0.8016666666666666
g1_p1_e1_v0,6,True,1,8.0,0.0,7.0,-0.12495958805084406,-0.10300049796700596,0.09424999999999999,6.991249502032995,0.6777083333333334,0.9008333333333334,0.405
g1_p1_e1_v0,8,False,2,10.0,5.0,3.0,3.61348122358322,2.644969170093535,0.07337499999999997,5.718344170093534,0.7099375000000001,0.925625,0.776875
g1_p1_e1_v1,4,False,1,10.0,8.0,-8.0,-0.089191794395449,-0.16107848905027128,0.005124999999999949,-8.15595348905027,0.985125,0.8512500000000001,1.0
g1_p1_e1_v1,4,True,1,4.0,0.0,5.0,0.5053328275680533,0.41408695578575083,0.055249999999999994,5.469336955785751,0.628125,0.8512500000000001,0.405
g1_p1_e1_v1,6,False,1,10.0,8.0,-4.0,2.7133554220199567,2.3871644518772746,0.019624999999999965,-1.5932105481227263,0.881,0.9008333333333334,1.0
g1_p1_e1_v1,6,True,2,8.0,0.0,6.0,2.353081613779067,1.6360400918126092,0.09249999999999999,7.72854009181261,0.6529166666666667,0.9008333333333334,0.405
g1_p1_e1_v1,8,False,1,10.0,4.0,0.0,2.4064624309539777,1.8638042904436576,0.08937499999999997,1.9531792904436571,0.7396875,0.925625,0.7025
g1_p1_e1_v1,8,True,1,8.0,0.0,9.0,3.4581724405288687,2.430597573593258,0.12449999999999999,11.555097573593256,0.6653125,0.925625,0.405
