method,方法,是否成功,步数,接近/到达步占比%,回退步占比%,接近/到达步平均总奖励,回退步平均总奖励,到达步平均总奖励,接近/到达步正奖励率%,回退步正奖励率%
external_only,仅外在,0,8322,79.05551550108147,20.944484498918527,-0.49718802249582006,-1.0,,25.140598875208997,0.0
external_only,仅外在,1,3479,98.41908594423685,1.5809140557631502,0.052570093457943924,-1.0,2.0,45.648364485981304,0.0
intrinsic_only,仅好奇心,0,11653,59.36668669012272,40.63331330987728,0.5143297716833048,0.47858540196101523,,99.27724775946805,98.9651531151003
intrinsic_only,仅好奇心,1,14,92.85714285714286,7.142857142857142,0.34499622766788174,0.07166308164596535,0.4559156000614164,100.0,100.0
mixed_no_gate_no_pbrs,直接相加,0,8413,82.28931415666231,17.710685843337693,0.15090198186579304,-0.512600535914402,,32.37035967066301,0.06711409395973154
mixed_no_gate_no_pbrs,直接相加,1,3408,98.65023474178403,1.3497652582159625,0.6010009252479004,-0.5151535298513331,2.4535872082042087,48.75074360499703,0.0
mixed_gate_only,距离门控,0,8381,81.06431213459014,18.935687865409857,0.0027408827010428323,-0.6336714991649767,,31.49838092434501,0.0
mixed_gate_only,距离门控,1,3412,98.65181711606095,1.3481828839390386,0.43352468225403284,-0.6287173555003129,2.1898138785487724,47.653000594177065,0.0
mixed_pbrs_only,仅塑形,0,9084,80.98855129898723,19.01144870101277,0.1824741950692956,-0.5227383497165822,,33.30161750713606,0.0
mixed_pbrs_only,仅塑形,1,2775,98.34234234234233,1.6576576576576578,0.592251586092833,-0.5243371310959695,2.4503485751214282,47.636496885305974,2.1739130434782608
proposed_linear_gate_pbrs,本文方法,0,8367,81.78558623162424,18.214413768375763,0.005370904397121453,-0.6410973307461214,,30.819815870232354,0.0
proposed_linear_gate_pbrs,本文方法,1,3399,98.8231832892027,1.1768167107972933,0.43776190627798756,-0.6080500284137826,2.206195363567231,47.12712116701399,0.0
