case_id,score,fail_count,loop_controls,near_miss_controls,seed,episode,image_index,distance_bucket,initial_patch,goal_patch,run_progress,proposed_path_len,proposed_regress_steps,proposed_revisit_count,proposed_total_reward,control_mean_final_dist,control_max_revisit,control_max_regress,external_only_success,external_only_final_dist,external_only_path_len,external_only_progress_steps,external_only_regress_steps,external_only_revisit_count,external_only_total_reward,intrinsic_only_success,intrinsic_only_final_dist,intrinsic_only_path_len,intrinsic_only_progress_steps,intrinsic_only_regress_steps,intrinsic_only_revisit_count,intrinsic_only_total_reward,mixed_no_gate_no_pbrs_success,mixed_no_gate_no_pbrs_final_dist,mixed_no_gate_no_pbrs_path_len,mixed_no_gate_no_pbrs_progress_steps,mixed_no_gate_no_pbrs_regress_steps,mixed_no_gate_no_pbrs_revisit_count,mixed_no_gate_no_pbrs_total_reward,mixed_gate_only_success,mixed_gate_only_final_dist,mixed_gate_only_path_len,mixed_gate_only_progress_steps,mixed_gate_only_regress_steps,mixed_gate_only_revisit_count,mixed_gate_only_total_reward,mixed_pbrs_only_success,mixed_pbrs_only_final_dist,mixed_pbrs_only_path_len,mixed_pbrs_only_progress_steps,mixed_pbrs_only_regress_steps,mixed_pbrs_only_revisit_count,mixed_pbrs_only_total_reward,proposed_linear_gate_pbrs_success,proposed_linear_gate_pbrs_final_dist,proposed_linear_gate_pbrs_path_len,proposed_linear_gate_pbrs_progress_steps,proposed_linear_gate_pbrs_regress_steps,proposed_linear_gate_pbrs_revisit_count,proposed_linear_gate_pbrs_total_reward,image_asset_available,dataset,image_id,image_path,image_white_ratio,image_max_patch_white_ratio,image_mean_patch_white_ratio,image_texture_std,dist_num,quality_adjusted_score,figure_path
case_11,83.03999999999999,5,2,0,123,115,5,C7,5,24,0.2580291666666666,7,0,1,2.4186692153811444,4.2,5.0,4.0,0,3,8,6,2,2,-6.0,0,7,8,4,4,5,2.8855151534080488,0,3,8,6,2,0,-2.9316821694374102,0,3,8,6,2,0,-3.596652592718603,0,5,8,5,3,0,-2.031524631500246,1,0,7,7,0,1,2.4186692153811444,True,MASA,23729080_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729080_15.tiff,6.666666666666667e-05,0.0008333333333333334,6.666666666666667e-05,33.71020601299033,7,83.02083333333333,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_11_seed123_ep115_img5_C7_s5_g24.png
case_12,82.28,5,5,0,123,75,5,C7,4,21,0.1688979166666666,9,1,1,0.5631369023919095,4.4,4.0,4.0,0,4,9,6,3,2,-7.0,0,4,9,6,3,3,3.3711804747581464,0,4,9,6,3,4,-2.960601687431337,0,6,9,5,4,2,-3.8848909729719177,0,4,9,6,3,1,-0.9293019461631796,1,0,9,8,1,1,0.5631369023919095,True,MASA,23729080_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729080_15.tiff,6.666666666666667e-05,0.0008333333333333334,6.666666666666667e-05,33.71020601299033,7,82.26083333333334,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_12_seed123_ep75_img5_C7_s4_g21.png
case_13,80.12,5,1,3,123,390,4,C6,15,3,0.8608291666666666,6,0,1,3.238773135046164,2.6,6.0,4.0,0,1,7,6,1,0,-1.0,0,7,7,3,4,6,4.979223549365996,0,1,7,6,1,0,3.036260783672331,0,3,7,5,2,0,1.8072369085748976,0,1,7,6,1,0,0.8318527431488022,1,0,6,6,0,1,3.238773135046164,True,MASA,23729065_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729065_15.tiff,0.0,0.0,0.0,34.157371284584634,6,80.12,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_13_seed123_ep390_img4_C6_s15_g3.png
case_14,79.84,5,1,0,123,155,2,C7,4,15,0.3462104166666667,7,0,1,2.1348482718467707,3.2,6.0,3.0,0,4,7,5,2,1,-7.0,0,6,7,4,3,6,4.00544637441635,0,2,7,6,1,0,1.927104771137236,0,2,7,6,1,0,-1.094831211566926,0,2,7,6,1,0,1.9005626721382125,1,0,7,7,0,1,2.1348482718467707,True,MASA,22828915_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_22828915_15.tiff,1.1111111111111112e-05,0.0002777777777777778,1.1111111111111112e-05,37.67042109064696,7,79.83472222222223,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_14_seed123_ep155_img2_C7_s4_g15.png
case_15,78.56,5,4,1,123,385,3,C6,14,20,0.84975,8,1,1,2.512186734914778,3.8,5.0,4.0,0,3,9,6,3,2,-9.0,0,5,9,5,4,5,5.918914854526518,0,5,9,5,4,3,-0.704598069190981,0,5,9,5,4,1,-2.3688915451864423,0,1,9,7,2,1,2.9843591594696024,1,0,8,7,1,1,2.512186734914778,True,MASA,23729050_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729050_15.tiff,0.00023333333333333333,0.0022222222222222222,0.00023333333333333333,41.78051892159278,6,78.50333333333334,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_15_seed123_ep385_img3_C6_s14_g20.png
case_16,77.8,5,4,0,123,60,1,C6,5,19,0.1358583333333333,8,1,1,3.557124936391909,4.0,5.0,4.0,0,2,8,6,2,1,-2.0,0,6,8,4,4,5,3.194221615791319,0,4,8,5,3,1,-3.1256493926048297,0,4,8,5,3,4,-4.990137555499873,0,4,8,5,3,1,-1.3106155953407304,1,0,8,7,1,1,3.557124936391909,True,MASA,22678930_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_22678930_15.tiff,6.666666666666667e-05,0.001388888888888889,6.666666666666667e-05,35.950311306844696,6,77.77250000000001,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_16_seed123_ep60_img1_C6_s5_g19.png
case_17,77.6,5,2,1,321,55,20,C6,15,3,0.12485,6,0,1,4.649842901229858,3.0,4.0,3.0,0,3,7,5,2,4,-5.0,0,5,7,4,3,4,2.13453823328018,0,1,7,6,1,1,2.425439238548278,0,3,7,5,2,3,-4.005527545064689,0,3,7,5,2,0,2.4430572915077198,1,0,6,6,0,1,4.649842901229858,True,MASA,24029035_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_24029035_15.tiff,3.3333333333333335e-05,0.0005555555555555556,3.333333333333333e-05,40.641362415040554,6,77.58833333333332,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_17_seed321_ep55_img20_C6_s15_g3.png
case_18,77.56,5,5,0,321,140,12,C6,16,4,0.314575,8,1,2,4.823422744969526,3.8,5.0,5.0,0,3,9,6,3,1,-3.0,0,7,9,4,5,5,5.451983988285063,0,3,9,6,3,2,3.359097540378569,0,3,9,6,3,2,1.3255368864536274,0,3,9,6,3,0,0.7495886511802652,1,0,8,7,1,2,4.823422744969526,True,MASA,23878990_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878990_15.tiff,0.0006111111111111111,0.014166666666666666,0.0006111111111111111,48.52935049911557,6,77.28638888888888,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_18_seed321_ep140_img12_C6_s16_g4.png
case_19,80.8,4,3,0,321,290,1,C8,24,0,0.644575,8,0,1,3.243920458264648,4.0,8.0,4.0,0,5,9,6,3,4,-9.0,0,7,9,5,4,8,3.596618652343748,0,3,9,7,2,3,-3.3649610877037066,1,0,8,8,0,1,3.082521341443061,0,5,9,6,3,4,-4.874453389167788,1,0,8,8,0,1,3.243920458264648,True,MASA,22678930_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_22678930_15.tiff,6.666666666666667e-05,0.001388888888888889,6.666666666666667e-05,35.950311306844696,8,80.77250000000001,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_19_seed321_ep290_img1_C8_s24_g0.png
case_20,80.32,4,3,0,123,310,6,C8,20,4,0.6856354166666667,8,0,1,3.794967669963836,3.6,8.0,4.0,0,3,9,7,2,2,-7.0,0,7,9,5,4,8,4.724503934383391,0,3,9,7,2,4,-4.11055362224579,0,5,9,6,3,0,-3.8266311943903584,1,0,8,8,0,1,4.652481996536254,1,0,8,8,0,1,3.794967669963836,True,MASA,23729095_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729095_15.tiff,3.3333333333333335e-05,0.0008333333333333334,3.3333333333333335e-05,34.40977889470552,8,80.30416666666666,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_20_seed123_ep310_img6_C8_s20_g4.png
case_21,79.8,4,4,0,42,310,5,C7,3,20,0.6857854166666667,7,0,1,2.158852541983127,4.0,8.0,4.0,0,6,9,5,4,0,-7.0,0,6,9,5,4,8,3.768330693244932,1,0,7,7,0,1,6.019906461238859,0,4,9,6,3,0,-0.0148698306083691,0,4,9,6,3,1,-2.48963717889786,1,0,7,7,0,1,2.158852541983127,True,MASA,23729080_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729080_15.tiff,6.666666666666667e-05,0.0008333333333333334,6.666666666666667e-05,33.71020601299033,7,79.78083333333333,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_21_seed42_ep310_img5_C7_s3_g20.png
case_22,78.32,4,2,0,123,310,1,C8,20,4,0.685575,8,0,1,3.4509771285280584,3.6,8.0,4.0,1,0,8,8,0,1,-1.0,0,7,9,5,4,8,3.167103707790373,0,3,9,7,2,0,-0.433029830455782,0,3,9,7,2,0,-1.3503024804219612,0,5,9,6,3,1,-3.716772550582887,1,0,8,8,0,1,3.4509771285280584,True,MASA,22678930_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_22678930_15.tiff,6.666666666666667e-05,0.001388888888888889,6.666666666666667e-05,35.950311306844696,8,78.2925,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_22_seed123_ep310_img1_C8_s20_g4.png
case_23,77.08,5,1,0,123,100,0,C7,24,5,0.2245520833333333,7,0,1,1.8549153616428369,3.4,3.0,3.0,0,5,8,5,3,3,-8.0,0,3,8,6,2,3,3.29349374771118,0,3,8,6,2,0,0.6419443488121015,0,3,8,6,2,0,-0.3287170127034202,0,3,8,6,2,1,-2.1768635754585284,1,0,7,7,0,1,1.8549153616428369,True,MASA,22678915_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_22678915_15.tiff,0.0002,0.005,0.0002,44.629645865908515,7,76.985,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_23_seed123_ep100_img0_C7_s24_g5.png
case_24,76.88,4,1,2,321,220,16,C8,4,20,0.49054375,8,0,1,2.417301265120505,2.4,8.0,4.0,0,3,9,7,2,0,-3.0,0,7,9,5,4,8,3.2002531290054304,0,1,9,8,1,1,0.3122337460517863,1,0,8,8,0,1,2.751987632811068,0,1,9,8,1,1,2.697886132240294,1,0,8,8,0,1,2.417301265120505,True,MASA,23879050_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23879050_15.tiff,0.0007666666666666667,0.018333333333333333,0.0007666666666666666,36.216450347127086,8,76.52833333333332,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\case_24_seed321_ep220_img16_C8_s4_g20.png
