method,方法,轨迹数,步数,成功率%,平均终距,平均轨迹总奖励,接近步占比%,回退步占比%,到达步数,接近/到达步平均总奖励,普通接近步平均总奖励,回退步平均总奖励,停留步平均总奖励,到达步平均总奖励,接近/到达步正奖励率%,普通接近步正奖励率%,回退步正奖励率%,近目标步正奖励率%,奖励选择性,正奖励选择性百分点
external_only,仅外在,1638,11801,29.181929181929185,2.014041514041514,-2.984737484737485,84.76400305058893,15.235996949411067,478,-0.3090072978106568,-0.42488188976377955,-1.0,,2.0,32.16035189443167,28.755905511811026,0.0,71.92610539067232,0.6909927021893432,32.16035189443167
intrinsic_only,仅好奇心,1566,11667,0.1277139208173691,5.6226053639846745,3.7220893057674576,59.406874089311735,40.593125910688265,2,0.5140121644012099,0.5140289335062292,0.4784994808629757,,0.4559156000614164,99.2786033761362,99.27839515081541,98.96537162162163,99.48717948717949,0.03551268353823417,0.3132317545145753
mixed_no_gate_no_pbrs,直接相加,1638,11821,28.754578754578752,1.681929181929182,1.390590763281261,87.0061754504695,12.993824549530498,471,0.2980320399747522,0.19458120603995763,-0.5126769927640757,,2.4535872082042087,37.72484200291687,34.7360912981455,0.06510416666666666,67.74519716885743,0.810709032738828,37.65973783625021
mixed_gate_only,距离门控,1638,11793,28.998778998779002,1.8174603174603174,0.2706397863309691,86.15280250996354,13.84719749003646,475,0.14545921629310626,0.045194016027598614,-0.6335319458223099,,2.1898138785487724,36.85039370078741,33.75322663913268,0.0,71.90680235672201,0.7789911621154162,36.85039370078741
mixed_pbrs_only,仅塑形,1638,11859,23.38217338217338,1.948107448107448,1.2404325968139176,85.04932962307109,14.950670376928915,383,0.2933489224243654,0.20820712432244068,-0.5227798296621274,,2.4503485751214282,37.180249851279,34.700608059363084,0.05640157924421885,68.45849802371542,0.8161287520864928,37.123848272034785
proposed_linear_gate_pbrs,本文方法,1638,11766,28.69352869352869,1.7496947496947497,0.3088162446786458,86.70746217916029,13.292537820839708,470,0.14773528151119997,0.04832341975962429,-0.6402521311979796,,2.206195363567231,36.1889825524407,33.10727496917386,0.0,70.77625570776256,0.7879874127091796,36.1889825524407
