score,fail_count,loop_controls,near_miss_controls,seed,episode,image_index,distance_bucket,initial_patch,goal_patch,run_progress,proposed_path_len,proposed_regress_steps,proposed_revisit_count,proposed_total_reward,control_mean_final_dist,control_max_revisit,control_max_regress,external_only_success,external_only_final_dist,external_only_path_len,external_only_progress_steps,external_only_regress_steps,external_only_revisit_count,external_only_total_reward,intrinsic_only_success,intrinsic_only_final_dist,intrinsic_only_path_len,intrinsic_only_progress_steps,intrinsic_only_regress_steps,intrinsic_only_revisit_count,intrinsic_only_total_reward,mixed_no_gate_no_pbrs_success,mixed_no_gate_no_pbrs_final_dist,mixed_no_gate_no_pbrs_path_len,mixed_no_gate_no_pbrs_progress_steps,mixed_no_gate_no_pbrs_regress_steps,mixed_no_gate_no_pbrs_revisit_count,mixed_no_gate_no_pbrs_total_reward,mixed_gate_only_success,mixed_gate_only_final_dist,mixed_gate_only_path_len,mixed_gate_only_progress_steps,mixed_gate_only_regress_steps,mixed_gate_only_revisit_count,mixed_gate_only_total_reward,mixed_pbrs_only_success,mixed_pbrs_only_final_dist,mixed_pbrs_only_path_len,mixed_pbrs_only_progress_steps,mixed_pbrs_only_regress_steps,mixed_pbrs_only_revisit_count,mixed_pbrs_only_total_reward,proposed_linear_gate_pbrs_success,proposed_linear_gate_pbrs_final_dist,proposed_linear_gate_pbrs_path_len,proposed_linear_gate_pbrs_progress_steps,proposed_linear_gate_pbrs_regress_steps,proposed_linear_gate_pbrs_revisit_count,proposed_linear_gate_pbrs_total_reward,image_asset_available,dataset,image_id,image_path,image_white_ratio,image_max_patch_white_ratio,image_mean_patch_white_ratio,image_texture_std
84.03999999999999,5,3,0,123,220,3,C7,15,4,0.4880916666666666,7,0,1,4.845456415951251,4.2,5.0,3.0,0,3,8,6,2,2,-4.0,0,5,8,5,3,5,4.403467535972593,0,3,8,6,2,0,2.762534260749815,0,5,8,5,3,0,-0.6972542616724983,0,5,8,5,3,3,-3.6579226875305193,1,0,7,7,0,1,4.845456415951251,True,MASA,23729050_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729050_15.tiff,0.00023333333333333333,0.0022222222222222222,0.00023333333333333333,41.78051892159278
83.03999999999999,5,2,0,123,115,5,C7,5,24,0.2580291666666666,7,0,1,2.4186692153811444,4.2,5.0,4.0,0,3,8,6,2,2,-6.0,0,7,8,4,4,5,2.8855151534080488,0,3,8,6,2,0,-2.9316821694374102,0,3,8,6,2,0,-3.596652592718603,0,5,8,5,3,0,-2.031524631500246,1,0,7,7,0,1,2.4186692153811444,True,MASA,23729080_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729080_15.tiff,6.666666666666667e-05,0.0008333333333333334,6.666666666666667e-05,33.71020601299033
82.28,5,5,0,123,75,5,C7,4,21,0.1688979166666666,9,1,1,0.5631369023919095,4.4,4.0,4.0,0,4,9,6,3,2,-7.0,0,4,9,6,3,3,3.3711804747581464,0,4,9,6,3,4,-2.960601687431337,0,6,9,5,4,2,-3.8848909729719177,0,4,9,6,3,1,-0.9293019461631796,1,0,9,8,1,1,0.5631369023919095,True,MASA,23729080_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729080_15.tiff,6.666666666666667e-05,0.0008333333333333334,6.666666666666667e-05,33.71020601299033
82.08,5,2,1,123,220,9,C7,9,20,0.4881604166666666,7,0,1,2.9614307155609128,3.4,5.0,3.0,0,3,8,6,2,1,-6.0,0,5,8,5,3,5,4.298449516296385,0,5,8,5,3,0,-0.3024067282676714,0,1,8,7,1,1,1.1457456696033463,0,3,8,6,2,0,2.518713859558104,1,0,7,7,0,1,2.9614307155609128,True,MASA,23878930_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878930_15.tiff,0.23595555555555556,1.0,0.23595555555555556,86.20615108195106
80.6,5,2,1,321,115,9,C7,24,1,0.2585958333333333,7,0,1,4.759006090998649,3.0,4.0,3.0,0,3,8,6,2,4,-8.0,0,5,8,5,3,4,3.3717945814132677,0,1,8,7,1,0,2.5469755530357343,0,3,8,6,2,3,-2.617655388712884,0,3,8,6,2,1,0.6249755530357342,1,0,7,7,0,1,4.759006090998649,True,MASA,23878930_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878930_15.tiff,0.23595555555555556,1.0,0.23595555555555556,86.20615108195106
79.84,5,1,0,123,155,2,C7,4,15,0.3462104166666667,7,0,1,2.1348482718467707,3.2,6.0,3.0,0,4,7,5,2,1,-7.0,0,6,7,4,3,6,4.00544637441635,0,2,7,6,1,0,1.927104771137236,0,2,7,6,1,0,-1.094831211566926,0,2,7,6,1,0,1.9005626721382125,1,0,7,7,0,1,2.1348482718467707,True,MASA,22828915_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_22828915_15.tiff,1.1111111111111112e-05,0.0002777777777777778,1.1111111111111112e-05,37.67042109064696
77.08,5,1,0,123,100,0,C7,24,5,0.2245520833333333,7,0,1,1.8549153616428369,3.4,3.0,3.0,0,5,8,5,3,3,-8.0,0,3,8,6,2,3,3.29349374771118,0,3,8,6,2,0,0.6419443488121015,0,3,8,6,2,0,-0.3287170127034202,0,3,8,6,2,1,-2.1768635754585284,1,0,7,7,0,1,1.8549153616428369,True,MASA,22678915_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_22678915_15.tiff,0.0002,0.005,0.0002,44.629645865908515
76.36,5,1,0,123,105,4,C7,15,4,0.2354770833333333,7,0,1,4.555064148247242,2.8,4.0,2.0,0,2,7,6,1,2,-5.0,0,4,7,5,2,4,4.167440176010131,0,2,7,6,1,0,3.035930871963499,0,2,7,6,1,0,1.7950966778397557,0,4,7,5,2,2,1.1650594072341902,1,0,7,7,0,1,4.555064148247242,True,MASA,23729065_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729065_15.tiff,0.0,0.0,0.0,34.157371284584634
74.84,5,3,0,42,55,8,C7,0,23,0.1240791666666666,9,1,3,1.62021765744686,3.2,6.0,3.0,0,4,9,6,3,3,-9.0,0,4,9,6,3,6,4.161273419857023,0,2,9,7,2,1,-0.3964306116104146,0,4,9,6,3,5,-4.16443690955639,0,2,9,7,2,2,-2.31661028146744,1,0,9,8,1,3,1.62021765744686,True,MASA,23878915_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878915_15.tiff,0.27994444444444444,1.0,0.2799444444444445,80.74584833253299
74.12,5,0,1,321,15,14,C7,15,4,0.0346729166666666,7,0,1,5.193978801906108,2.6,3.0,2.0,0,3,8,6,2,1,-6.0,0,3,8,6,2,2,5.447625279426573,0,3,8,6,2,3,-0.4941552877426165,0,1,8,7,1,1,1.889047768115996,0,3,8,6,2,2,-0.5791164879798907,1,0,7,7,0,1,5.193978801906108,True,MASA,23879020_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23879020_15.tiff,3.3333333333333335e-05,0.0008333333333333334,3.3333333333333335e-05,44.616353129331145
73.36,5,0,0,42,170,1,C7,21,4,0.3791208333333333,7,0,1,2.1374467169642437,2.8,3.0,2.0,0,4,7,5,2,0,-3.0,0,4,7,5,2,3,2.1258952617645246,0,2,7,6,1,0,0.5671213865280134,0,2,7,6,1,2,-0.1737295967340486,0,2,7,6,1,0,1.8178293390274032,1,0,7,7,0,1,2.1374467169642437,True,MASA,22678930_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_22678930_15.tiff,6.666666666666667e-05,0.001388888888888889,6.666666666666667e-05,35.950311306844696
89.03999999999999,5,5,0,123,280,3,C6,10,4,0.6201520833333334,6,0,1,3.848759819269179,4.2,7.0,5.0,0,3,9,6,3,0,-5.0,0,7,9,4,5,7,5.763222157955168,0,3,9,6,3,0,0.3632171750068644,0,3,9,6,3,0,-0.8710927666723745,0,5,9,5,4,1,-3.874933290004732,1,0,6,6,0,1,3.848759819269179,True,MASA,23729050_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729050_15.tiff,0.00023333333333333333,0.0022222222222222222,0.00023333333333333333,41.78051892159278
86.28,5,4,0,321,150,13,C6,15,3,0.3368125,6,0,1,3.2640403232971824,4.4,7.0,4.0,0,6,8,4,4,7,-8.0,0,6,8,4,4,6,3.5560453534126264,0,4,8,5,3,0,1.659239470958708,0,4,8,5,3,0,0.3755063570042438,0,2,8,6,2,2,2.27417894220352,1,0,6,6,0,1,3.2640403232971824,True,MASA,22828945_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_22828945_15.tiff,0.0,0.0,0.0,33.040234472885345
86.08,5,4,1,42,345,16,C6,1,23,0.7622895833333333,6,0,1,5.569488469213247,3.4,7.0,4.0,0,5,9,5,4,0,-3.0,0,5,9,5,4,7,3.5315399169921857,0,3,9,6,3,1,-1.5465813279151936,0,3,9,6,3,0,1.008767829239367,0,1,9,7,2,2,2.8163461294174184,1,0,6,6,0,1,5.569488469213247,True,MASA,23879050_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23879050_15.tiff,0.0007666666666666667,0.018333333333333333,0.0007666666666666666,36.216450347127086
85.56,5,4,1,123,120,14,C6,22,4,0.2691604166666667,6,0,1,3.919102589239676,3.8,6.0,4.0,0,5,9,5,4,4,-7.0,0,3,9,6,3,5,6.151202499866484,0,1,9,7,2,1,1.603392243385313,0,5,9,5,4,6,-2.6973015125592568,0,5,9,5,4,0,1.4274323019981363,1,0,6,6,0,1,3.919102589239676,True,MASA,23879020_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23879020_15.tiff,3.3333333333333335e-05,0.0008333333333333334,3.3333333333333335e-05,44.616353129331145
80.12,5,1,3,123,390,4,C6,15,3,0.8608291666666666,6,0,1,3.238773135046164,2.6,6.0,4.0,0,1,7,6,1,0,-1.0,0,7,7,3,4,6,4.979223549365996,0,1,7,6,1,0,3.036260783672331,0,3,7,5,2,0,1.8072369085748976,0,1,7,6,1,0,0.8318527431488022,1,0,6,6,0,1,3.238773135046164,True,MASA,23729065_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729065_15.tiff,0.0,0.0,0.0,34.157371284584634
79.8,5,4,0,123,70,10,C6,9,15,0.1579125,8,1,1,2.2219631931185715,4.0,7.0,4.0,0,4,8,5,3,4,-8.0,0,6,8,4,4,7,4.5191604495048505,0,2,8,6,2,2,1.4231444597244245,0,4,8,5,3,0,-2.5760267846783016,0,4,8,5,3,0,1.259194549083708,1,0,8,7,1,1,2.2219631931185715,True,MASA,23878945_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878945_15.tiff,0.2652,1.0,0.26520000000000005,96.49700061212924
78.56,5,4,1,123,385,3,C6,14,20,0.84975,8,1,1,2.512186734914778,3.8,5.0,4.0,0,3,9,6,3,2,-9.0,0,5,9,5,4,5,5.918914854526518,0,5,9,5,4,3,-0.704598069190981,0,5,9,5,4,1,-2.3688915451864423,0,1,9,7,2,1,2.9843591594696024,1,0,8,7,1,1,2.512186734914778,True,MASA,23729050_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23729050_15.tiff,0.00023333333333333333,0.0022222222222222222,0.00023333333333333333,41.78051892159278
77.8,5,4,0,123,60,1,C6,5,19,0.1358583333333333,8,1,1,3.557124936391909,4.0,5.0,4.0,0,2,8,6,2,1,-2.0,0,6,8,4,4,5,3.194221615791319,0,4,8,5,3,1,-3.1256493926048297,0,4,8,5,3,4,-4.990137555499873,0,4,8,5,3,1,-1.3106155953407304,1,0,8,7,1,1,3.557124936391909,True,MASA,22678930_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_22678930_15.tiff,6.666666666666667e-05,0.001388888888888889,6.666666666666667e-05,35.950311306844696
77.6,5,2,1,321,55,20,C6,15,3,0.12485,6,0,1,4.649842901229858,3.0,4.0,3.0,0,3,7,5,2,4,-5.0,0,5,7,4,3,4,2.13453823328018,0,1,7,6,1,1,2.425439238548278,0,3,7,5,2,3,-4.005527545064689,0,3,7,5,2,0,2.4430572915077198,1,0,6,6,0,1,4.649842901229858,True,MASA,24029035_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_24029035_15.tiff,3.3333333333333335e-05,0.0005555555555555556,3.333333333333333e-05,40.641362415040554
77.56,5,5,0,321,140,12,C6,16,4,0.314575,8,1,2,4.823422744969526,3.8,5.0,5.0,0,3,9,6,3,1,-3.0,0,7,9,4,5,5,5.451983988285063,0,3,9,6,3,2,3.359097540378569,0,3,9,6,3,2,1.3255368864536274,0,3,9,6,3,0,0.7495886511802652,1,0,8,7,1,2,4.823422744969526,True,MASA,23878990_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878990_15.tiff,0.0006111111111111111,0.014166666666666666,0.0006111111111111111,48.52935049911557
75.6,5,1,1,123,95,9,C6,4,10,0.21338125,6,0,1,3.1606426916519794,3.0,4.0,3.0,0,3,7,5,2,0,-5.0,0,5,7,4,3,4,4.580285489559173,0,3,7,5,2,0,-1.7071891427040111,0,1,7,6,1,0,1.4242421388626083,0,3,7,5,2,0,2.890241436958312,1,0,6,6,0,1,3.1606426916519794,True,MASA,23878930_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878930_15.tiff,0.23595555555555556,1.0,0.23595555555555556,86.20615108195106
75.36,5,1,0,321,160,19,C6,1,23,0.3590625,6,0,1,2.894141050378481,2.8,5.0,3.0,0,2,6,5,1,0,-2.0,0,6,6,3,3,5,1.7122487425804125,0,2,6,5,1,0,-1.487942457199098,0,2,6,5,1,0,-0.155500772446395,0,2,6,5,1,0,2.762389116764067,1,0,6,6,0,1,2.894141050378481,True,MASA,23879110_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23879110_15.tiff,7.777777777777778e-05,0.0019444444444444444,7.777777777777778e-05,34.13187372905267
75.12,5,3,2,321,135,10,C6,4,10,0.3032708333333333,8,1,2,3.467058352231978,2.6,7.0,4.0,0,1,9,7,2,1,-5.0,0,5,9,5,4,7,5.488995790481566,0,1,9,7,2,0,2.699348032474516,0,3,9,6,3,2,-1.43871690268318,0,3,9,6,3,3,-0.8613274421691914,1,0,8,7,1,2,3.467058352231978,True,MASA,23878945_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878945_15.tiff,0.2652,1.0,0.26520000000000005,96.49700061212924
72.84,5,1,0,42,165,10,C6,10,24,0.3681375,6,0,1,3.4755581462879963,3.2,2.0,3.0,0,2,6,5,1,0,0.0,0,6,6,3,3,2,2.1220223307609545,0,2,6,5,1,1,-0.6371186375617994,0,4,6,4,2,0,0.6579488888382903,0,2,6,5,1,0,3.481542997837065,1,0,6,6,0,1,3.4755581462879963,True,MASA,23878945_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878945_15.tiff,0.2652,1.0,0.26520000000000005,96.49700061212924
72.16,5,0,3,321,70,10,C6,23,1,0.1581604166666666,6,0,1,3.5718460879723226,1.8,3.0,2.0,0,1,7,6,1,0,-3.0,0,3,7,5,2,3,3.83190894126892,0,1,7,6,1,2,3.514148771762846,0,1,7,6,1,1,2.0570873697102057,0,3,7,5,2,1,1.4602221851348862,1,0,6,6,0,1,3.5718460879723226,True,MASA,23878945_15,F:\bishe\Undergraduate-Graduation-Project\results\figures\defense_reward_training_stage\case_studies\image_cache\masa_23878945_15.tiff,0.2652,1.0,0.26520000000000005,96.49700061212924
