score,fail_count,loop_controls,near_miss_controls,seed,episode,image_index,distance_bucket,initial_patch,goal_patch,run_progress,prop_path_len,prop_regress,prop_revisit,prop_total_reward,control_mean_final_dist,control_max_revisit,control_max_regress,external_only_success,intrinsic_only_success,mixed_no_gate_no_pbrs_success,mixed_gate_only_success,mixed_pbrs_only_success,proposed_linear_gate_pbrs_success,external_only_final,intrinsic_only_final,mixed_no_gate_no_pbrs_final,mixed_gate_only_final,mixed_pbrs_only_final,proposed_linear_gate_pbrs_final,external_only_revisit,intrinsic_only_revisit,mixed_no_gate_no_pbrs_revisit,mixed_gate_only_revisit,mixed_pbrs_only_revisit,proposed_linear_gate_pbrs_revisit,external_only_regress,intrinsic_only_regress,mixed_no_gate_no_pbrs_regress,mixed_gate_only_regress,mixed_pbrs_only_regress,proposed_linear_gate_pbrs_regress,external_only_dist_sequence,intrinsic_only_dist_sequence,mixed_no_gate_no_pbrs_dist_sequence,mixed_gate_only_dist_sequence,mixed_pbrs_only_dist_sequence,proposed_linear_gate_pbrs_dist_sequence,external_only_patch_sequence,intrinsic_only_patch_sequence,mixed_no_gate_no_pbrs_patch_sequence,mixed_gate_only_patch_sequence,mixed_pbrs_only_patch_sequence,proposed_linear_gate_pbrs_patch_sequence
84.32,5,1,0,123,55,6,C8,4,20,0.1248083333333333,8,0,1,3.340885206654667,3.6,6.0,4.0,0,0,0,0,0,1,4,8,2,2,2,0,2,6,0,1,1,1,2,4,1,1,1,0,"[8, 7, 6, 5, 4, 3, 4, 5, 4]","[8, 7, 8, 7, 6, 7, 8, 7, 8]","[8, 7, 6, 5, 4, 3, 2, 1, 2]","[8, 7, 6, 5, 4, 3, 2, 1, 2]","[8, 7, 6, 5, 4, 3, 2, 3, 2]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[20, 4, 9, 14, 19, 24, 23, 18, 19, 24]","[20, 4, 9, 4, 9, 14, 9, 4, 9, 4]","[20, 4, 9, 14, 13, 18, 17, 16, 15, 10]","[20, 4, 9, 14, 13, 18, 17, 16, 15, 16]","[20, 4, 3, 8, 7, 12, 17, 22, 23, 22]","[20, 4, 9, 14, 19, 18, 17, 16, 15, 20]"
84.03999999999999,5,3,0,123,220,3,C7,15,4,0.4880916666666666,7,0,1,4.845456415951251,4.2,5.0,3.0,0,0,0,0,0,1,3,5,3,5,5,0,2,5,0,0,3,1,2,3,2,3,3,0,"[7, 6, 5, 4, 3, 2, 1, 2, 3]","[7, 6, 7, 8, 7, 8, 7, 6, 5]","[7, 6, 5, 4, 3, 2, 1, 2, 3]","[7, 6, 5, 4, 3, 2, 3, 4, 5]","[7, 6, 5, 4, 5, 6, 5, 4, 5]","[7, 6, 5, 4, 3, 2, 1, 0]","[4, 15, 10, 5, 0, 1, 2, 3, 2, 1]","[4, 15, 10, 15, 20, 15, 20, 15, 10, 5]","[4, 15, 10, 5, 6, 7, 8, 9, 14, 19]","[4, 15, 10, 5, 6, 7, 8, 13, 18, 23]","[4, 15, 10, 5, 6, 5, 10, 11, 12, 11]","[4, 15, 16, 17, 12, 7, 8, 3, 4]"
83.64,5,1,3,123,250,3,C8,4,20,0.5546791666666666,8,0,1,2.4985677361190306,2.2,5.0,3.0,0,0,0,0,0,1,1,5,1,1,3,0,1,5,2,0,0,1,1,3,1,1,2,0,"[8, 7, 6, 5, 4, 3, 2, 1, 2, 1]","[8, 7, 6, 5, 4, 5, 4, 5, 4, 5]","[8, 7, 6, 5, 4, 3, 4, 3, 2, 1]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 1]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[20, 4, 3, 8, 13, 18, 23, 22, 21, 16, 21]","[20, 4, 9, 14, 19, 24, 19, 24, 19, 24, 19]","[20, 4, 3, 2, 7, 12, 17, 12, 17, 16, 15]","[20, 4, 3, 8, 13, 12, 17, 22, 21, 16, 15]","[20, 4, 3, 2, 1, 6, 11, 16, 21, 22, 23]","[20, 4, 9, 8, 7, 6, 11, 10, 15, 20]"
83.03999999999999,5,2,0,123,115,5,C7,5,24,0.2580291666666666,7,0,1,2.4186692153811444,4.2,5.0,4.0,0,0,0,0,0,1,3,7,3,3,5,0,2,5,0,0,0,1,2,4,2,2,3,0,"[7, 6, 5, 4, 5, 4, 3, 2, 3]","[7, 8, 7, 8, 7, 6, 7, 6, 7]","[7, 6, 7, 6, 5, 4, 3, 2, 3]","[7, 6, 7, 6, 5, 4, 3, 2, 3]","[7, 6, 5, 4, 3, 2, 3, 4, 5]","[7, 6, 5, 4, 3, 2, 1, 0]","[24, 5, 6, 7, 8, 3, 8, 9, 14, 9]","[24, 5, 0, 5, 0, 1, 6, 1, 6, 1]","[24, 5, 6, 1, 2, 3, 4, 9, 14, 13]","[24, 5, 6, 1, 2, 3, 4, 9, 14, 13]","[24, 5, 10, 11, 12, 13, 14, 9, 4, 3]","[24, 5, 10, 15, 20, 21, 22, 23, 24]"
82.64,5,1,3,321,85,7,C8,24,0,0.1918125,8,0,1,0.6649833567142478,2.2,4.0,3.0,0,0,0,0,0,1,1,5,1,3,1,0,2,4,1,2,2,1,1,3,1,2,1,0,"[8, 7, 6, 5, 4, 3, 2, 1, 2, 1]","[8, 7, 6, 7, 6, 7, 6, 5, 4, 5]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 1]","[8, 7, 6, 5, 4, 5, 4, 5, 4, 3]","[8, 7, 6, 5, 4, 3, 4, 3, 2, 1]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[0, 24, 23, 22, 21, 16, 11, 6, 1, 6, 1]","[0, 24, 23, 22, 23, 22, 23, 18, 17, 16, 17]","[0, 24, 23, 22, 21, 16, 15, 10, 5, 6, 5]","[0, 24, 19, 14, 9, 4, 9, 8, 13, 8, 7]","[0, 24, 19, 14, 9, 4, 3, 4, 3, 2, 1]","[0, 24, 19, 14, 13, 8, 3, 2, 1, 0]"
82.36,5,1,0,123,205,7,C8,4,20,0.455325,8,0,1,1.456509268067776,2.8,6.0,3.0,0,0,0,0,0,1,2,6,2,2,2,0,0,6,2,0,0,1,1,3,1,1,1,0,"[8, 7, 6, 5, 4, 3, 4, 3, 2]","[8, 7, 6, 7, 6, 7, 6, 7, 6]","[8, 7, 8, 7, 6, 5, 4, 3, 2]","[8, 7, 6, 5, 4, 3, 2, 1, 2]","[8, 7, 6, 5, 4, 3, 2, 1, 2]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[20, 4, 9, 14, 19, 24, 23, 18, 17, 16]","[20, 4, 3, 8, 3, 8, 3, 8, 3, 8]","[20, 4, 9, 4, 9, 14, 19, 18, 17, 16]","[20, 4, 9, 14, 19, 18, 17, 16, 15, 10]","[20, 4, 9, 14, 13, 12, 17, 16, 21, 22]","[20, 4, 9, 8, 7, 6, 11, 10, 15, 20]"
82.28,5,5,0,123,75,5,C7,4,21,0.1688979166666666,9,1,1,0.5631369023919095,4.4,4.0,4.0,0,0,0,0,0,1,4,4,4,6,4,0,2,3,4,2,1,1,3,3,3,4,3,1,"[7, 6, 5, 4, 3, 4, 3, 2, 3, 4]","[7, 6, 7, 6, 5, 4, 3, 4, 5, 4]","[7, 6, 7, 6, 7, 6, 5, 4, 3, 4]","[7, 6, 5, 4, 3, 4, 5, 6, 7, 6]","[7, 6, 5, 4, 3, 2, 1, 2, 3, 4]","[7, 6, 5, 4, 3, 2, 3, 2, 1, 0]","[21, 4, 9, 14, 13, 18, 19, 24, 23, 24, 19]","[21, 4, 9, 4, 3, 8, 7, 12, 7, 2, 7]","[21, 4, 3, 4, 9, 4, 9, 14, 13, 18, 13]","[21, 4, 9, 14, 13, 12, 7, 2, 3, 4, 9]","[21, 4, 3, 2, 7, 12, 11, 16, 17, 12, 13]","[21, 4, 3, 2, 1, 6, 11, 10, 15, 20, 21]"
82.08,5,2,1,123,220,9,C7,9,20,0.4881604166666666,7,0,1,2.9614307155609128,3.4,5.0,3.0,0,0,0,0,0,1,3,5,5,1,3,0,1,5,0,1,0,1,2,3,3,1,2,0,"[7, 6, 5, 4, 3, 2, 3, 4, 3]","[7, 6, 7, 6, 5, 4, 5, 4, 5]","[7, 6, 5, 4, 3, 2, 3, 4, 5]","[7, 8, 7, 6, 5, 4, 3, 2, 1]","[7, 6, 5, 4, 3, 2, 1, 2, 3]","[7, 6, 5, 4, 3, 2, 1, 0]","[20, 9, 14, 19, 24, 23, 22, 17, 18, 23]","[20, 9, 14, 9, 14, 19, 24, 19, 24, 19]","[20, 9, 14, 19, 18, 17, 16, 11, 6, 1]","[20, 9, 4, 9, 14, 19, 18, 17, 16, 15]","[20, 9, 14, 13, 12, 11, 16, 15, 10, 5]","[20, 9, 8, 7, 6, 5, 10, 15, 20]"
80.8,4,3,0,42,360,9,C8,24,0,0.7951125,8,0,1,4.211737598635255,4.0,8.0,4.0,1,0,0,0,0,1,0,7,3,5,5,0,1,8,0,0,0,1,0,4,2,3,3,0,"[8, 7, 6, 5, 4, 3, 2, 1, 0]","[8, 7, 8, 7, 8, 7, 8, 7, 8, 7]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 6, 5, 4, 3, 2, 3, 4, 5]","[8, 7, 6, 5, 4, 3, 2, 3, 4, 5]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[0, 24, 19, 14, 9, 8, 7, 6, 5, 0]","[0, 24, 19, 24, 19, 24, 19, 24, 19, 24, 19]","[0, 24, 19, 18, 17, 16, 11, 6, 1, 2, 3]","[0, 24, 19, 14, 9, 8, 7, 6, 11, 16, 21]","[0, 24, 19, 14, 9, 8, 7, 6, 11, 16, 17]","[0, 24, 19, 14, 9, 8, 7, 6, 5, 0]"
80.8,4,3,0,321,290,1,C8,24,0,0.644575,8,0,1,3.243920458264648,4.0,8.0,4.0,0,0,0,1,0,1,5,7,3,0,5,0,4,8,3,1,4,1,3,4,2,0,3,0,"[8, 7, 6, 5, 4, 3, 4, 5, 6, 5]","[8, 7, 8, 7, 8, 7, 8, 7, 8, 7]","[8, 7, 6, 5, 4, 3, 2, 3, 2, 3]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[8, 7, 6, 5, 4, 5, 4, 5, 6, 5]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[0, 24, 19, 14, 9, 4, 3, 4, 9, 14, 9]","[0, 24, 23, 24, 23, 24, 23, 24, 23, 24, 23]","[0, 24, 19, 14, 9, 4, 3, 2, 3, 2, 3]","[0, 24, 19, 14, 9, 8, 7, 6, 5, 0]","[0, 24, 23, 22, 21, 16, 21, 16, 17, 22, 21]","[0, 24, 19, 14, 13, 12, 11, 6, 5, 0]"
