score,fail_count,loop_controls,near_miss_controls,seed,episode,image_index,distance_bucket,initial_patch,goal_patch,run_progress,prop_path_len,prop_regress,prop_revisit,prop_total_reward,control_mean_final_dist,control_max_revisit,control_max_regress,external_only_success,intrinsic_only_success,mixed_no_gate_no_pbrs_success,mixed_gate_only_success,mixed_pbrs_only_success,proposed_linear_gate_pbrs_success,external_only_final,intrinsic_only_final,mixed_no_gate_no_pbrs_final,mixed_gate_only_final,mixed_pbrs_only_final,proposed_linear_gate_pbrs_final,external_only_revisit,intrinsic_only_revisit,mixed_no_gate_no_pbrs_revisit,mixed_gate_only_revisit,mixed_pbrs_only_revisit,proposed_linear_gate_pbrs_revisit,external_only_regress,intrinsic_only_regress,mixed_no_gate_no_pbrs_regress,mixed_gate_only_regress,mixed_pbrs_only_regress,proposed_linear_gate_pbrs_regress,external_only_dist_sequence,intrinsic_only_dist_sequence,mixed_no_gate_no_pbrs_dist_sequence,mixed_gate_only_dist_sequence,mixed_pbrs_only_dist_sequence,proposed_linear_gate_pbrs_dist_sequence,external_only_patch_sequence,intrinsic_only_patch_sequence,mixed_no_gate_no_pbrs_patch_sequence,mixed_gate_only_patch_sequence,mixed_pbrs_only_patch_sequence,proposed_linear_gate_pbrs_patch_sequence
70.84,4,1,0,321,355,5,C7,3,20,0.7868354166666667,7,0,1,2.581222306728362,3.2,6.0,4.0,0,0,1,0,0,1,2,8,0,2,4,0,0,6,1,1,3,1,1,4,0,1,2,0,"[7, 6, 5, 4, 3, 2, 1, 2]","[7, 8, 7, 8, 7, 8, 7, 8]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 7, 6, 5, 4, 3, 4]","[7, 6, 5, 4, 3, 2, 1, 0]","[20, 3, 8, 7, 12, 17, 22, 21, 16]","[20, 3, 4, 3, 4, 3, 4, 3, 4]","[20, 3, 8, 13, 18, 17, 16, 15, 20]","[20, 3, 8, 7, 12, 17, 22, 21, 22]","[20, 3, 2, 3, 2, 7, 12, 17, 12]","[20, 3, 8, 7, 12, 17, 22, 21, 20]"
70.84,4,1,0,123,290,11,C7,15,4,0.6421708333333334,7,0,1,4.365436517238616,3.2,6.0,4.0,0,0,1,0,0,1,3,7,0,3,3,0,2,6,1,2,1,1,2,4,0,2,2,0,"[7, 6, 5, 4, 3, 2, 1, 2, 3]","[7, 8, 7, 8, 7, 8, 7, 8, 7]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 6, 5, 4, 3, 2, 3]","[7, 6, 5, 4, 3, 2, 3, 4, 3]","[7, 6, 5, 4, 3, 2, 1, 0]","[4, 15, 10, 5, 0, 1, 2, 3, 2, 1]","[4, 15, 20, 15, 20, 15, 20, 15, 20, 21]","[4, 15, 10, 5, 6, 1, 2, 3, 4]","[4, 15, 10, 5, 10, 5, 6, 7, 8, 13]","[4, 15, 10, 11, 12, 7, 2, 1, 6, 7]","[4, 15, 16, 17, 18, 13, 8, 3, 4]"
70.36,4,1,0,321,240,16,C8,24,0,0.5347104166666666,8,0,1,4.712233142152427,2.8,4.0,3.0,0,0,0,1,0,1,2,6,4,0,2,0,0,4,2,1,0,1,1,3,2,0,1,0,"[8, 7, 6, 5, 4, 3, 2, 1, 2]","[8, 7, 8, 7, 6, 5, 4, 5, 6]","[8, 7, 6, 5, 4, 3, 4, 5, 4]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[8, 7, 6, 5, 4, 3, 2, 1, 2]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[0, 24, 19, 18, 17, 16, 11, 6, 1, 2]","[0, 24, 23, 24, 23, 22, 21, 20, 21, 22]","[0, 24, 19, 14, 9, 8, 7, 8, 9, 4]","[0, 24, 19, 18, 13, 12, 11, 10, 5, 0]","[0, 24, 19, 14, 9, 8, 7, 6, 5, 10]","[0, 24, 19, 14, 9, 8, 7, 6, 1, 0]"
70.36,4,1,0,42,355,2,C7,5,24,0.78395,7,0,1,1.6806377222537985,2.8,6.0,4.0,0,0,1,0,0,1,2,8,0,2,2,0,0,6,1,0,1,1,1,4,0,1,1,0,"[7, 6, 5, 4, 3, 2, 1, 2]","[7, 8, 7, 8, 7, 8, 7, 8]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 8, 7, 6, 5, 4, 3, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[24, 5, 10, 15, 16, 17, 18, 19, 14]","[24, 5, 0, 5, 0, 5, 0, 5, 0]","[24, 5, 6, 7, 8, 13, 18, 23, 24]","[24, 5, 10, 11, 16, 17, 18, 19, 14]","[24, 5, 0, 5, 6, 11, 16, 17, 18]","[24, 5, 6, 11, 16, 17, 22, 23, 24]"
70.32,4,4,0,123,320,9,C6,2,24,0.7074041666666666,8,1,1,3.675347978224356,3.6,8.0,4.0,0,0,0,0,1,1,3,5,5,5,0,0,2,8,1,3,1,1,3,4,4,4,1,1,"[6, 5, 4, 3, 2, 3, 4, 5, 4, 3]","[6, 5, 6, 5, 6, 5, 6, 5, 6, 5]","[6, 5, 4, 3, 2, 3, 4, 5, 4, 5]","[6, 5, 4, 3, 4, 5, 4, 5, 4, 5]","[6, 5, 6, 5, 4, 3, 2, 1, 0]","[6, 5, 4, 3, 2, 3, 2, 1, 0]","[24, 2, 7, 12, 17, 22, 21, 20, 15, 20, 21]","[24, 2, 7, 2, 7, 2, 7, 2, 7, 2, 7]","[24, 2, 3, 8, 13, 18, 17, 16, 15, 20, 15]","[24, 2, 7, 12, 17, 16, 15, 20, 15, 20, 15]","[24, 2, 7, 6, 11, 16, 21, 22, 23, 24]","[24, 2, 7, 12, 17, 18, 13, 14, 19, 24]"
69.4,4,1,1,42,95,8,C8,0,24,0.2132979166666666,8,0,1,2.3164635376706717,2.0,4.0,2.0,1,0,0,0,0,1,0,3,3,1,3,0,1,4,1,2,1,1,0,2,2,1,2,0,"[8, 7, 6, 5, 4, 3, 2, 1, 0]","[8, 7, 6, 7, 6, 7, 6, 5, 4, 3]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 6, 5, 4, 3, 4, 3, 2, 1]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[24, 0, 5, 10, 11, 16, 21, 22, 23, 24]","[24, 0, 1, 6, 1, 6, 1, 6, 11, 16, 21]","[24, 0, 1, 2, 7, 8, 9, 14, 19, 14, 13]","[24, 0, 1, 2, 3, 4, 9, 4, 9, 14, 19]","[24, 0, 5, 10, 11, 12, 17, 18, 19, 18, 13]","[24, 0, 5, 10, 11, 16, 21, 22, 23, 24]"
69.36,4,2,0,123,400,9,C6,15,3,0.882575,6,0,1,3.2457380887866014,2.8,6.0,4.0,0,0,0,0,1,1,2,6,2,4,0,0,2,6,0,0,1,1,2,4,2,3,0,0,"[6, 5, 4, 3, 4, 3, 2, 3, 2]","[6, 7, 6, 7, 6, 5, 6, 5, 6]","[6, 5, 4, 3, 2, 1, 2, 3, 2]","[6, 5, 4, 3, 2, 1, 2, 3, 4]","[6, 5, 4, 3, 2, 1, 0]","[6, 5, 4, 3, 2, 1, 0]","[3, 15, 16, 17, 18, 19, 14, 9, 14, 9]","[3, 15, 20, 15, 20, 15, 10, 15, 10, 15]","[3, 15, 10, 5, 6, 7, 8, 9, 14, 13]","[3, 15, 10, 5, 6, 7, 8, 9, 14, 19]","[3, 15, 16, 17, 12, 7, 8, 3]","[3, 15, 16, 17, 18, 13, 8, 3]"
69.36,4,1,0,42,130,9,C7,4,21,0.29044375,7,0,1,2.4650933598875997,2.8,6.0,3.0,0,0,0,0,1,1,2,6,2,4,0,0,0,6,1,2,1,1,1,3,1,2,0,0,"[7, 6, 5, 6, 5, 4, 3, 2]","[7, 6, 7, 6, 7, 6, 7, 6]","[7, 6, 5, 4, 3, 4, 3, 2]","[7, 6, 5, 4, 3, 4, 3, 4]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 0]","[21, 4, 9, 8, 3, 2, 7, 6, 11]","[21, 4, 9, 4, 9, 4, 9, 4, 9]","[21, 4, 9, 14, 19, 24, 19, 18, 17]","[21, 4, 9, 14, 19, 24, 19, 18, 19]","[21, 4, 9, 14, 13, 12, 11, 16, 21]","[21, 4, 9, 14, 13, 12, 11, 16, 21]"
69.36,5,2,0,123,20,10,C6,15,3,0.04585,8,1,2,3.892810138622919,2.8,6.0,3.0,0,0,0,0,0,1,2,2,2,4,4,0,2,3,3,6,3,2,2,2,2,3,3,1,"[6, 5, 6, 5, 4, 5, 4, 3, 2]","[6, 5, 4, 5, 4, 3, 2, 3, 2]","[6, 5, 4, 5, 4, 3, 4, 3, 2]","[6, 5, 4, 5, 4, 5, 4, 5, 4]","[6, 7, 6, 5, 4, 3, 4, 3, 4]","[6, 5, 4, 5, 4, 3, 2, 1, 0]","[3, 15, 10, 15, 10, 11, 16, 17, 12, 13]","[3, 15, 10, 5, 10, 5, 0, 1, 6, 1]","[3, 15, 10, 5, 10, 5, 6, 11, 6, 7]","[3, 15, 10, 5, 10, 5, 10, 5, 10, 5]","[3, 15, 20, 21, 22, 17, 12, 17, 12, 17]","[3, 15, 10, 11, 16, 11, 12, 7, 2, 3]"
69.36,4,1,0,42,70,20,C7,0,23,0.1576875,7,0,1,3.8916314353942862,2.8,6.0,3.0,0,0,0,1,0,1,4,6,2,0,2,0,1,6,1,1,0,1,2,3,1,0,1,0,"[7, 6, 5, 4, 3, 4, 3, 4]","[7, 6, 7, 6, 7, 6, 7, 6]","[7, 6, 5, 4, 3, 4, 3, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[23, 0, 1, 2, 7, 8, 9, 14, 9]","[23, 0, 5, 0, 5, 0, 5, 0, 5]","[23, 0, 5, 6, 11, 12, 7, 12, 17]","[23, 0, 5, 6, 7, 12, 17, 22, 23]","[23, 0, 1, 6, 11, 16, 17, 18, 13]","[23, 0, 1, 6, 11, 16, 17, 22, 23]"
69.36,4,1,0,123,200,16,C8,0,24,0.4445125,8,0,1,1.7943773880302896,2.8,4.0,2.0,1,0,0,0,0,1,0,4,4,4,2,0,1,4,0,0,0,1,0,2,2,2,1,0,"[8, 7, 6, 5, 4, 3, 2, 1, 0]","[8, 7, 6, 7, 6, 5, 4, 5, 4]","[8, 7, 6, 5, 4, 3, 2, 3, 4]","[8, 7, 6, 5, 4, 3, 2, 3, 4]","[8, 7, 6, 5, 4, 3, 2, 1, 2]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[24, 0, 5, 10, 11, 12, 13, 14, 19, 24]","[24, 0, 5, 10, 5, 10, 15, 20, 15, 20]","[24, 0, 1, 2, 7, 8, 13, 18, 17, 12]","[24, 0, 1, 2, 3, 8, 13, 18, 17, 16]","[24, 0, 1, 6, 11, 12, 17, 18, 19, 14]","[24, 0, 1, 2, 3, 4, 9, 14, 19, 24]"
68.88,4,1,0,123,190,6,C8,24,0,0.4226333333333333,8,0,1,0.8927712602242819,2.4,4.0,2.0,0,0,0,1,0,1,3,3,3,0,3,0,0,4,0,1,0,1,2,2,2,0,2,0,"[8, 7, 6, 5, 4, 3, 2, 3, 2, 3]","[8, 7, 6, 5, 4, 3, 4, 3, 4, 3]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[8, 7, 6, 5, 4, 3, 2, 1, 2, 3]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[0, 24, 23, 22, 21, 20, 15, 10, 11, 6, 7]","[0, 24, 19, 18, 13, 8, 3, 8, 3, 8, 3]","[0, 24, 19, 18, 17, 12, 11, 6, 1, 2, 3]","[0, 24, 19, 18, 17, 16, 15, 10, 5, 0]","[0, 24, 19, 14, 9, 8, 7, 6, 5, 10, 15]","[0, 24, 23, 18, 13, 12, 7, 2, 1, 0]"
68.88,4,1,2,321,190,8,C6,1,23,0.4249208333333333,6,0,1,3.4631575559079644,2.4,6.0,4.0,0,0,0,1,0,1,1,7,1,0,3,0,0,6,0,1,1,1,1,4,1,0,2,0,"[6, 5, 4, 5, 4, 3, 2, 1]","[6, 7, 6, 7, 6, 7, 6, 7]","[6, 5, 4, 3, 4, 3, 2, 1]","[6, 5, 4, 3, 2, 1, 0]","[6, 5, 4, 3, 2, 1, 2, 3]","[6, 5, 4, 3, 2, 1, 0]","[23, 1, 2, 3, 4, 9, 14, 19, 24]","[23, 1, 0, 1, 0, 1, 0, 1, 0]","[23, 1, 2, 7, 8, 9, 14, 19, 24]","[23, 1, 2, 7, 12, 17, 22, 23]","[23, 1, 2, 7, 12, 17, 18, 13, 12]","[23, 1, 6, 11, 16, 21, 22, 23]"
68.88,4,1,0,123,265,4,C7,20,3,0.5873291666666667,7,0,1,4.979740213394164,2.4,6.0,3.0,0,0,0,0,1,1,2,6,2,2,0,0,0,6,0,0,1,1,1,3,1,1,0,0,"[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 7, 6, 7, 6, 7, 6]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 0]","[3, 20, 15, 16, 17, 12, 13, 8, 9]","[3, 20, 15, 20, 15, 20, 15, 20, 15]","[3, 20, 21, 22, 17, 12, 7, 8, 9]","[3, 20, 15, 10, 5, 6, 7, 8, 9]","[3, 20, 15, 16, 17, 18, 13, 8, 3]","[3, 20, 21, 22, 17, 12, 7, 8, 3]"
68.88,4,1,0,42,330,14,C7,0,19,0.7297166666666667,7,0,1,2.841730246484279,2.4,6.0,3.0,0,0,0,0,1,1,2,6,2,2,0,0,0,6,0,0,1,1,1,3,1,1,0,0,"[7, 6, 5, 4, 3, 4, 3, 2]","[7, 6, 7, 6, 7, 6, 7, 6]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 4, 3, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 0]","[19, 0, 1, 6, 11, 16, 21, 22, 23]","[19, 0, 5, 0, 5, 0, 5, 0, 5]","[19, 0, 1, 2, 3, 8, 13, 18, 23]","[19, 0, 1, 6, 11, 16, 21, 22, 23]","[19, 0, 5, 10, 11, 16, 17, 18, 19]","[19, 0, 1, 6, 11, 16, 17, 18, 19]"
68.88,4,1,0,42,270,0,C7,0,19,0.5981458333333334,7,0,1,1.9222445314526544,2.4,6.0,3.0,0,0,0,0,1,1,2,6,2,2,0,0,0,6,0,0,1,1,1,3,1,1,0,0,"[7, 6, 5, 4, 3, 2, 3, 2]","[7, 6, 7, 6, 7, 6, 7, 6]","[7, 6, 5, 4, 3, 2, 3, 2]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 0]","[19, 0, 1, 6, 11, 16, 17, 22, 23]","[19, 0, 5, 0, 5, 0, 5, 0, 5]","[19, 0, 1, 6, 7, 12, 17, 22, 23]","[19, 0, 5, 10, 15, 16, 17, 18, 13]","[19, 0, 1, 6, 11, 16, 17, 18, 19]","[19, 0, 1, 6, 11, 16, 17, 18, 19]"
68.88,4,1,0,321,390,6,C7,0,23,0.8633083333333333,7,0,1,1.6725299289226525,2.4,6.0,3.0,0,0,0,1,0,1,2,6,2,0,2,0,0,6,0,1,0,1,1,3,1,0,1,0,"[7, 6, 5, 4, 5, 4, 3, 2]","[7, 6, 7, 6, 7, 6, 7, 6]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[23, 0, 1, 2, 3, 4, 9, 14, 19]","[23, 0, 1, 0, 1, 0, 1, 0, 1]","[23, 0, 1, 6, 7, 12, 13, 18, 19]","[23, 0, 1, 2, 3, 8, 13, 18, 23]","[23, 0, 5, 10, 15, 16, 17, 18, 19]","[23, 0, 1, 6, 7, 8, 13, 18, 23]"
68.88,4,1,0,321,265,11,C7,15,4,0.5896979166666667,7,0,1,2.520364876627921,2.4,6.0,3.0,0,0,0,1,0,1,2,6,2,0,2,0,0,6,0,1,0,1,1,3,1,0,1,0,"[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 7, 6, 7, 6, 7, 6]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[4, 15, 10, 11, 6, 1, 2, 3, 8]","[4, 15, 16, 15, 16, 15, 16, 15, 16]","[4, 15, 10, 5, 6, 7, 8, 9, 14]","[4, 15, 10, 5, 0, 1, 2, 3, 4]","[4, 15, 16, 17, 18, 13, 8, 3, 2]","[4, 15, 10, 5, 0, 1, 2, 3, 4]"
68.88,4,1,0,321,135,12,C7,4,15,0.3033,7,0,1,5.609493871569633,2.4,6.0,3.0,0,0,0,0,1,1,2,6,2,2,0,0,0,6,0,0,1,1,1,3,1,1,0,0,"[7, 6, 5, 4, 5, 4, 3, 2]","[7, 6, 7, 6, 7, 6, 7, 6]","[7, 6, 5, 4, 3, 2, 3, 2]","[7, 6, 5, 4, 3, 2, 3, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 0]","[15, 4, 9, 14, 19, 24, 23, 22, 17]","[15, 4, 3, 4, 3, 4, 3, 4, 3]","[15, 4, 3, 8, 7, 12, 17, 22, 21]","[15, 4, 3, 2, 7, 6, 11, 12, 17]","[15, 4, 9, 14, 13, 12, 11, 10, 15]","[15, 4, 9, 14, 13, 12, 11, 10, 15]"
68.88,4,1,0,321,315,26,C7,4,15,0.6991770833333333,7,0,1,4.36607389652729,2.4,6.0,3.0,0,0,0,1,0,1,2,6,2,0,2,0,0,6,0,1,0,1,1,3,1,0,1,0,"[7, 6, 5, 4, 5, 4, 3, 2]","[7, 6, 7, 6, 7, 6, 7, 6]","[7, 6, 5, 4, 3, 2, 3, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[15, 4, 9, 14, 19, 24, 23, 22, 21]","[15, 4, 3, 4, 3, 4, 3, 4, 3]","[15, 4, 9, 8, 7, 12, 17, 22, 21]","[15, 4, 3, 8, 7, 12, 17, 16, 15]","[15, 4, 3, 2, 1, 6, 11, 16, 21]","[15, 4, 9, 14, 13, 12, 11, 16, 15]"
68.4,4,1,0,123,80,14,C8,20,4,0.1801416666666666,8,0,1,4.750989575281739,2.0,4.0,2.0,0,0,0,0,1,1,2,4,2,2,0,0,1,4,0,1,1,1,1,2,1,1,0,0,"[8, 7, 6, 5, 4, 5, 4, 3, 2]","[8, 7, 6, 5, 4, 5, 4, 5, 4]","[8, 7, 6, 5, 4, 5, 4, 3, 2]","[8, 7, 6, 5, 4, 3, 4, 3, 2]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[4, 20, 15, 10, 5, 0, 5, 6, 7, 2]","[4, 20, 15, 10, 5, 0, 5, 0, 5, 0]","[4, 20, 21, 22, 17, 12, 11, 6, 1, 2]","[4, 20, 15, 10, 5, 6, 7, 6, 1, 2]","[4, 20, 21, 22, 23, 24, 19, 14, 9, 4]","[4, 20, 21, 22, 17, 12, 7, 8, 9, 4]"
68.4,4,1,0,123,380,20,C8,0,24,0.8388770833333333,8,0,1,3.6299981649667017,2.0,4.0,2.0,0,0,0,0,1,1,2,4,2,2,0,0,0,4,1,0,1,1,1,2,1,1,0,0,"[8, 7, 6, 5, 4, 3, 2, 1, 2]","[8, 7, 8, 7, 6, 5, 4, 5, 4]","[8, 7, 6, 5, 4, 3, 2, 3, 2]","[8, 7, 6, 5, 4, 3, 2, 3, 2]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[8, 7, 6, 5, 4, 3, 2, 1, 0]","[24, 0, 5, 6, 11, 12, 13, 18, 23, 22]","[24, 0, 5, 0, 5, 10, 15, 20, 15, 20]","[24, 0, 5, 10, 15, 16, 17, 22, 21, 22]","[24, 0, 5, 6, 7, 8, 13, 18, 17, 22]","[24, 0, 5, 6, 11, 16, 17, 22, 23, 24]","[24, 0, 5, 10, 15, 16, 17, 18, 23, 24]"
68.36,4,1,0,321,170,19,C7,19,0,0.3812770833333333,7,0,1,2.2158969213962547,2.8,5.0,3.0,1,0,0,0,0,1,0,6,2,4,2,0,1,5,0,0,0,1,0,3,1,2,1,0,"[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 7, 6, 5, 6, 5, 6]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 3, 4]","[7, 6, 5, 4, 3, 2, 3, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[0, 19, 18, 17, 16, 15, 10, 5, 0]","[0, 19, 18, 19, 18, 17, 18, 17, 18]","[0, 19, 18, 17, 16, 11, 6, 1, 2]","[0, 19, 14, 13, 12, 11, 10, 15, 20]","[0, 19, 14, 9, 8, 7, 6, 11, 10]","[0, 19, 14, 13, 12, 7, 2, 1, 0]"
68.36,4,1,0,123,200,3,C7,21,4,0.44436875,7,0,1,2.926610170841216,2.8,5.0,3.0,0,0,1,0,0,1,2,6,0,2,4,0,0,5,1,0,2,1,1,3,0,1,2,0,"[7, 8, 7, 6, 5, 4, 3, 2]","[7, 6, 7, 6, 5, 6, 7, 6]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 4, 5, 4]","[7, 6, 5, 4, 3, 2, 1, 0]","[4, 21, 20, 15, 16, 17, 12, 7, 8]","[4, 21, 16, 21, 16, 11, 16, 21, 16]","[4, 21, 16, 11, 6, 1, 2, 3, 4]","[4, 21, 16, 11, 6, 7, 8, 9, 14]","[4, 21, 16, 11, 12, 7, 6, 11, 12]","[4, 21, 16, 17, 12, 7, 2, 3, 4]"
68.36,4,1,0,42,350,11,C7,23,0,0.7729,7,0,1,4.6346309726834285,2.8,4.0,4.0,0,0,1,0,0,1,2,8,0,2,2,0,0,4,1,0,0,1,1,4,0,1,1,0,"[7, 6, 5, 6, 5, 4, 3, 2]","[7, 6, 7, 8, 7, 8, 7, 8]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 8, 7, 6, 5, 4, 3, 2]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[0, 23, 18, 13, 14, 9, 8, 7, 6]","[0, 23, 18, 23, 24, 19, 24, 19, 24]","[0, 23, 18, 17, 16, 11, 6, 1, 0]","[0, 23, 24, 19, 14, 9, 8, 3, 2]","[0, 23, 18, 13, 8, 3, 2, 1, 6]","[0, 23, 18, 13, 8, 7, 6, 5, 0]"
68.36,4,2,1,321,185,3,C6,9,21,0.4136479166666666,6,0,1,3.687864825824896,2.8,5.0,3.0,0,0,0,0,1,1,5,5,3,1,0,0,4,5,1,0,1,1,3,3,2,1,0,0,"[6, 5, 6, 7, 6, 7, 6, 5]","[6, 5, 4, 5, 6, 5, 6, 5]","[6, 5, 4, 3, 2, 3, 2, 3]","[6, 5, 4, 3, 4, 3, 2, 1]","[6, 5, 4, 3, 2, 1, 0]","[6, 5, 4, 3, 2, 1, 0]","[21, 9, 8, 9, 4, 3, 4, 3, 8]","[21, 9, 8, 7, 8, 9, 8, 9, 8]","[21, 9, 8, 7, 12, 11, 10, 11, 6]","[21, 9, 8, 7, 6, 5, 10, 15, 20]","[21, 9, 8, 7, 6, 11, 16, 21]","[21, 9, 14, 13, 12, 11, 16, 21]"
67.92,4,1,3,321,180,14,C6,0,18,0.4028354166666666,6,0,1,5.523391297906636,1.6,6.0,3.0,0,0,0,1,0,1,1,5,1,0,1,0,0,6,0,1,0,1,1,3,1,0,1,0,"[6, 5, 4, 3, 2, 3, 2, 1]","[6, 5, 6, 5, 6, 5, 6, 5]","[6, 5, 4, 3, 2, 1, 2, 1]","[6, 5, 4, 3, 2, 1, 0]","[6, 5, 4, 3, 2, 3, 2, 1]","[6, 5, 4, 3, 2, 1, 0]","[18, 0, 1, 2, 3, 8, 9, 14, 19]","[18, 0, 1, 0, 1, 0, 1, 0, 1]","[18, 0, 1, 2, 7, 12, 17, 22, 23]","[18, 0, 1, 2, 3, 8, 13, 18]","[18, 0, 1, 6, 11, 16, 21, 22, 23]","[18, 0, 1, 6, 7, 12, 17, 18]"
67.88,4,1,0,321,385,4,C7,5,24,0.8524125,7,0,1,2.881767319679259,2.4,5.0,3.0,1,0,0,0,0,1,0,6,2,2,2,0,1,5,1,2,0,1,0,3,1,1,1,0,"[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 6, 5, 6, 5, 6]","[7, 6, 5, 4, 3, 2, 3, 2]","[7, 6, 5, 4, 3, 4, 3, 2]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[24, 5, 6, 7, 8, 13, 18, 23, 24]","[24, 5, 10, 11, 10, 11, 10, 11, 10]","[24, 5, 10, 11, 12, 17, 18, 13, 18]","[24, 5, 6, 7, 8, 13, 8, 13, 18]","[24, 5, 10, 11, 16, 17, 18, 19, 14]","[24, 5, 6, 7, 8, 9, 14, 19, 24]"
67.88,4,1,0,123,275,3,C7,21,4,0.6093458333333334,7,0,1,2.8776579802632325,2.4,5.0,3.0,1,0,0,0,0,1,0,6,2,2,2,0,1,5,0,0,1,1,0,3,1,1,1,0,"[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 7, 6, 5, 6, 5, 6]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 7, 6, 5, 4, 3, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[4, 21, 16, 11, 6, 7, 8, 9, 4]","[4, 21, 16, 21, 16, 11, 16, 11, 16]","[4, 21, 16, 11, 6, 7, 8, 9, 14]","[4, 21, 16, 11, 6, 7, 8, 9, 14]","[4, 21, 16, 21, 22, 23, 24, 19, 14]","[4, 21, 22, 17, 12, 7, 2, 3, 4]"
67.88,4,1,0,123,260,8,C7,21,4,0.5763479166666666,7,0,1,2.5879765799045558,2.4,5.0,3.0,0,0,0,1,0,1,2,6,2,0,2,0,0,5,0,1,1,1,1,3,1,0,1,0,"[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 7, 6, 7, 6, 5, 6]","[7, 6, 5, 4, 3, 2, 1, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[7, 6, 5, 4, 3, 2, 3, 2]","[7, 6, 5, 4, 3, 2, 1, 0]","[4, 21, 16, 17, 18, 13, 8, 3, 2]","[4, 21, 16, 21, 16, 21, 16, 11, 16]","[4, 21, 16, 11, 6, 7, 8, 9, 14]","[4, 21, 16, 11, 6, 7, 8, 9, 4]","[4, 21, 22, 23, 18, 13, 8, 7, 8]","[4, 21, 22, 17, 12, 7, 2, 3, 4]"
