route_index,method,method_cn,seed,episode,image_index,distance_bucket,success,initial_dist,final_dist,route_total_reward,step,prev_patch,cur_patch,action,prev_dist,next_dist,delta_dist,move_type,is_progress,is_regress,is_goal,is_near,reward_total,reward_ex,reward_ex_raw,reward_in_raw,reward_in_gated,gate_weight,finish_bonus,pbrs_bonus,reward_positive,reward_strong_positive
3,external_only,仅外在,123,0,7,C8,0,8.0,4.0,-8.0,1,0,5,down,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.6559551954269407,0.0,1.0,0.0,0.0,0,0
3,external_only,仅外在,123,0,7,C8,0,8.0,4.0,-8.0,2,5,6,right,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.5349336266517637,0.0,1.0,0.0,0.0,0,0
3,external_only,仅外在,123,0,7,C8,0,8.0,4.0,-8.0,3,6,7,right,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.5201960802078245,0.0,1.0,0.0,0.0,0,0
3,external_only,仅外在,123,0,7,C8,0,8.0,4.0,-8.0,4,7,12,down,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.20055186748504616,0.0,1.0,0.0,0.0,0,0
3,external_only,仅外在,123,0,7,C8,0,8.0,4.0,-8.0,5,12,11,left,4.0,5.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.14665734767913796,0.0,1.0,0.0,0.0,0,0
3,external_only,仅外在,123,0,7,C8,0,8.0,4.0,-8.0,6,11,12,right,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.5333314538002012,0.0,1.0,0.0,0.0,0,0
3,external_only,仅外在,123,0,7,C8,0,8.0,4.0,-8.0,7,12,7,up,4.0,5.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.13795447349548318,0.0,1.0,0.0,0.0,0,0
3,external_only,仅外在,123,0,7,C8,0,8.0,4.0,-8.0,8,7,8,right,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.1903952360153196,0.0,1.0,0.0,0.0,0,0
4,external_only,仅外在,123,0,8,C6,0,6.0,7.0,-5.0,1,16,15,left,6.0,7.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.7740224599838255,0.0,1.0,0.0,0.0,0,0
4,external_only,仅外在,123,0,8,C6,0,6.0,7.0,-5.0,2,15,10,up,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.3405691385269163,0.0,1.0,0.0,0.0,0,0
4,external_only,仅外在,123,0,8,C6,0,6.0,7.0,-5.0,3,10,11,right,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.34562540054321267,0.0,1.0,0.0,0.0,0,0
4,external_only,仅外在,123,0,8,C6,0,6.0,7.0,-5.0,4,11,16,down,5.0,6.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.19134473800659157,0.0,1.0,0.0,0.0,0,0
4,external_only,仅外在,123,0,8,C6,0,6.0,7.0,-5.0,5,16,21,down,6.0,7.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.32542330026626565,0.0,1.0,0.0,0.0,0,0
5,external_only,仅外在,123,0,10,C6,0,6.0,4.0,-6.0,1,24,19,up,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.7249916791915891,0.0,1.0,0.0,0.0,0,0
5,external_only,仅外在,123,0,10,C6,0,6.0,4.0,-6.0,2,19,14,up,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.5411602258682249,0.0,1.0,0.0,0.0,0,0
5,external_only,仅外在,123,0,10,C6,0,6.0,4.0,-6.0,3,14,13,left,4.0,3.0,1.0,progress,1,0,0,0,1.0,1.0,1.0,0.5298737883567808,0.0,1.0,0.0,0.0,1,1
5,external_only,仅外在,123,0,10,C6,0,6.0,4.0,-6.0,4,13,14,right,3.0,4.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.67023229598999,0.0,1.0,0.0,0.0,0,0
5,external_only,仅外在,123,0,10,C6,0,6.0,4.0,-6.0,5,14,19,down,4.0,5.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.5292714834213255,0.0,1.0,0.0,0.0,0,0
5,external_only,仅外在,123,0,10,C6,0,6.0,4.0,-6.0,6,19,18,left,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.5375782847404478,0.0,1.0,0.0,0.0,0,0
5,external_only,仅外在,123,0,10,C6,0,6.0,4.0,-6.0,7,18,13,up,4.0,3.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.7816488742828367,0.0,1.0,0.0,0.0,0,0
5,external_only,仅外在,123,0,10,C6,0,6.0,4.0,-6.0,8,13,18,down,3.0,4.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.6453825235366819,0.0,1.0,0.0,0.0,0,0
6,external_only,仅外在,123,5,3,C8,0,8.0,6.0,-8.0,1,24,23,left,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.7083917856216428,0.0,1.0,0.0,0.0,0,0
6,external_only,仅外在,123,5,3,C8,0,8.0,6.0,-8.0,2,23,22,left,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.5527884960174558,0.0,1.0,0.0,0.0,0,0
6,external_only,仅外在,123,5,3,C8,0,8.0,6.0,-8.0,3,22,21,left,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.33206981420516946,0.0,1.0,0.0,0.0,0,0
6,external_only,仅外在,123,5,3,C8,0,8.0,6.0,-8.0,4,21,20,left,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.41171324253082253,0.0,1.0,0.0,0.0,0,0
6,external_only,仅外在,123,5,3,C8,0,8.0,6.0,-8.0,5,20,21,right,4.0,5.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.669069707393646,0.0,1.0,0.0,0.0,0,0
6,external_only,仅外在,123,5,3,C8,0,8.0,6.0,-8.0,6,21,22,right,5.0,6.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.4041786193847654,0.0,1.0,0.0,0.0,0,0
6,external_only,仅外在,123,5,3,C8,0,8.0,6.0,-8.0,7,22,17,up,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.30283999443054177,0.0,1.0,0.0,0.0,0,0
6,external_only,仅外在,123,5,3,C8,0,8.0,6.0,-8.0,8,17,18,right,5.0,6.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.6120313405990598,0.0,1.0,0.0,0.0,0,0
7,external_only,仅外在,123,5,6,C6,0,6.0,7.0,-9.0,1,2,3,right,6.0,7.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.6481857299804685,0.0,1.0,0.0,0.0,0,0
7,external_only,仅外在,123,5,6,C6,0,6.0,7.0,-9.0,2,3,2,left,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.31939458847045876,0.0,1.0,0.0,0.0,0,0
7,external_only,仅外在,123,5,6,C6,0,6.0,7.0,-9.0,3,2,3,right,6.0,7.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.30274701118469216,0.0,1.0,0.0,0.0,0,0
7,external_only,仅外在,123,5,6,C6,0,6.0,7.0,-9.0,4,3,4,right,7.0,8.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.3018261194229124,0.0,1.0,0.0,0.0,0,0
7,external_only,仅外在,123,5,6,C6,0,6.0,7.0,-9.0,5,4,3,left,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.17380428314208962,0.0,1.0,0.0,0.0,0,0
7,external_only,仅外在,123,5,6,C6,0,6.0,7.0,-9.0,6,3,4,right,7.0,8.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.291792571544647,0.0,1.0,0.0,0.0,0,0
7,external_only,仅外在,123,5,6,C6,0,6.0,7.0,-9.0,7,4,9,down,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.1686100363731382,0.0,1.0,0.0,0.0,0,0
7,external_only,仅外在,123,5,6,C6,0,6.0,7.0,-9.0,8,9,14,down,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.24338912963867165,0.0,1.0,0.0,0.0,0,0
7,external_only,仅外在,123,5,6,C6,0,6.0,7.0,-9.0,9,14,9,up,6.0,7.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.3862817287445066,0.0,1.0,0.0,0.0,0,0
8,external_only,仅外在,123,5,16,C8,0,8.0,4.0,-8.0,1,24,19,up,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.7756919860839842,0.0,1.0,0.0,0.0,0,0
8,external_only,仅外在,123,5,16,C8,0,8.0,4.0,-8.0,2,19,18,left,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.544381260871887,0.0,1.0,0.0,0.0,0,0
8,external_only,仅外在,123,5,16,C8,0,8.0,4.0,-8.0,3,18,23,down,6.0,7.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.7475222349166868,0.0,1.0,0.0,0.0,0,0
8,external_only,仅外在,123,5,16,C8,0,8.0,4.0,-8.0,4,23,18,up,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.5720604658126829,0.0,1.0,0.0,0.0,0,0
8,external_only,仅外在,123,5,16,C8,0,8.0,4.0,-8.0,5,18,19,right,6.0,7.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.7215122580528257,0.0,1.0,0.0,0.0,0,0
8,external_only,仅外在,123,5,16,C8,0,8.0,4.0,-8.0,6,19,14,up,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.5713797807693479,0.0,1.0,0.0,0.0,0,0
8,external_only,仅外在,123,5,16,C8,0,8.0,4.0,-8.0,7,14,9,up,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.7243264913558958,0.0,1.0,0.0,0.0,0,0
8,external_only,仅外在,123,5,16,C8,0,8.0,4.0,-8.0,8,9,8,left,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.7221765518188474,0.0,1.0,0.0,0.0,0,0
9,external_only,仅外在,123,5,18,C6,0,6.0,4.0,-2.0,1,23,22,left,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.6720231175422666,0.0,1.0,0.0,0.0,0,0
9,external_only,仅外在,123,5,18,C6,0,6.0,4.0,-2.0,2,22,21,left,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.2758793234825132,0.0,1.0,0.0,0.0,0,0
9,external_only,仅外在,123,5,18,C6,0,6.0,4.0,-2.0,3,21,16,up,4.0,3.0,1.0,progress,1,0,0,0,1.0,1.0,1.0,0.30143451690673806,0.0,1.0,0.0,0.0,1,1
9,external_only,仅外在,123,5,18,C6,0,6.0,4.0,-2.0,4,16,11,up,3.0,2.0,1.0,progress,1,0,0,1,1.0,1.0,1.0,0.32659214735031106,0.0,1.0,0.0,0.0,1,1
9,external_only,仅外在,123,5,18,C6,0,6.0,4.0,-2.0,5,11,12,right,2.0,3.0,-1.0,regress,0,1,0,1,-1.0,-1.0,-1.0,0.45289766788482644,0.0,1.0,0.0,0.0,0,0
