method,method_label,run_count,rolling_success_mean,rolling_success_std,val_success_mean,c6_c8_success_mean,c6_c8_success_std,c6_c8_final_dist_mean,c6_c8_final_dist_std,effective_external_mean,effective_intrinsic_mean,pbrs_mean
external_only,仅外部奖励,3,0.3112917728406859,0.0076468445413693294,18.666666666666668,0.44131345433211155,0.02062578704907287,1.1934467048573747,0.08759316395159471,-0.3827901125755346,0.0,0.0
intrinsic_only,仅内在奖励,3,0.052655249410178566,0.004896922889810737,4.0,0.0,0.0,6.127139616962059,0.13448390194874613,0.0,0.5140621303878286,0.0
mixed_no_gate_no_pbrs,外部+内在直接相加,3,0.3006561996779388,0.004051808997476321,19.333333333333332,0.42458780792981426,0.01880454325923613,1.064771542357504,0.0599170398627938,-0.34122828480597156,0.5183272429450195,0.0
mixed_gate_only,外部+门控内在,3,0.29913848631239937,0.0213412070891562,18.0,0.41175436439057655,0.0599880102661247,1.192407350573461,0.2506870864364326,-0.3465810906805001,0.40428315785765484,0.0
mixed_pbrs_only,外部+内在+PBRS,3,0.2748248792270531,0.018784377834662785,15.333333333333334,0.34744603167665616,0.059767867765938884,1.4199066024538494,0.23761992511848695,-0.35273990228618085,0.5173002235947822,0.00807324922005407
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,3,0.3034656527047831,0.01741685703833427,17.666666666666668,0.4266745310546385,0.04662796363464572,1.1475435663250695,0.20721930296097676,-0.343308904064414,0.4040958036208288,0.008260156164287137
