run_progress,metric,value_mean,value_std,n
0.007142857142857143,reward_ex_mean,-0.7724856553615657,0.013617648039677,3
0.014285714285714285,reward_ex_mean,-0.7663806905655614,0.010355797361208965,3
0.02142857142857143,reward_ex_mean,-0.7630354725051559,0.01007058471691086,3
0.02857142857142857,reward_ex_mean,-0.7536372574375428,0.01009834767400059,3
0.03571428571428571,reward_ex_mean,-0.7397360713141093,0.009283558438620743,3
0.04285714285714286,reward_ex_mean,-0.725238310880335,0.007169617508692744,3
0.049999999999999996,reward_ex_mean,-0.7128527776487324,0.00415842477731056,3
0.05714285714285714,reward_ex_mean,-0.7010235940855033,0.0032070841097131134,3
0.06428571428571428,reward_ex_mean,-0.6868920414353031,0.006203373838995101,3
0.07142857142857142,reward_ex_mean,-0.672533935517356,0.005973761249484371,3
0.07857142857142857,reward_ex_mean,-0.6600132948224549,0.010103669193702496,3
0.08571428571428572,reward_ex_mean,-0.6523989269593008,0.011958907833752572,3
0.09285714285714286,reward_ex_mean,-0.6455311343310774,0.01525790201473827,3
0.09999999999999999,reward_ex_mean,-0.6363538949230749,0.01441124166664252,3
0.10714285714285714,reward_ex_mean,-0.6270169815372729,0.01712719100066075,3
0.11428571428571428,reward_ex_mean,-0.6177247328181155,0.020437433677625322,3
0.12142857142857143,reward_ex_mean,-0.6113867259925131,0.02302729608059651,3
0.12857142857142856,reward_ex_mean,-0.6034878924479791,0.02834369043137393,3
0.1357142857142857,reward_ex_mean,-0.5927129720975484,0.03109334540422735,3
0.14285714285714285,reward_ex_mean,-0.582573498918553,0.03753801245385038,3
0.15,reward_ex_mean,-0.5710430314325349,0.03725429373433201,3
0.15714285714285714,reward_ex_mean,-0.5622803872011736,0.038379763216077674,3
0.16428571428571428,reward_ex_mean,-0.5538437132426774,0.036515498131968534,3
0.17142857142857143,reward_ex_mean,-0.5456308356753393,0.03753351943004835,3
0.17857142857142858,reward_ex_mean,-0.5369375343246636,0.03397151435122496,3
0.18571428571428572,reward_ex_mean,-0.530627544332362,0.029350848827166705,3
0.19285714285714284,reward_ex_mean,-0.5256610256673958,0.027141946730709132,3
0.19999999999999998,reward_ex_mean,-0.5187888367396684,0.02447126072953469,3
0.20714285714285713,reward_ex_mean,-0.512232090830401,0.024997868783328832,3
0.21428571428571427,reward_ex_mean,-0.5043631348782301,0.02525641564937225,3
0.22142857142857142,reward_ex_mean,-0.4970401998381733,0.023695378919799327,3
0.22857142857142856,reward_ex_mean,-0.49016938948513217,0.02247943390518465,3
0.2357142857142857,reward_ex_mean,-0.48179705644510634,0.022028940231315783,3
0.24285714285714285,reward_ex_mean,-0.47448509609288414,0.024184591393645774,3
0.25,reward_ex_mean,-0.46883114988078667,0.02729205110204443,3
0.2571428571428571,reward_ex_mean,-0.4659541989112075,0.026445883810730694,3
0.2642857142857143,reward_ex_mean,-0.4626520234713785,0.0254133191402609,3
0.2714285714285714,reward_ex_mean,-0.4602679965764575,0.02271763684995267,3
0.2785714285714286,reward_ex_mean,-0.4596859233228041,0.022485546311375768,3
0.2857142857142857,reward_ex_mean,-0.4604469555833713,0.023481758874636594,3
0.29285714285714287,reward_ex_mean,-0.4615252082406438,0.02073004752288582,3
0.3,reward_ex_mean,-0.4600795556183388,0.017149883549149134,3
