run_name,seed,distance,success_rate,gate_weight,pbrs_bonus_sum,final_dist
proposed_linear_gate_pbrs_seed123_t480k,123,4,0.21218028343156167,0.7881457569824595,0.0345660114507394,2.3171781760937304
proposed_linear_gate_pbrs_seed123_t480k,123,5,0.25153767041169633,0.7443739420045032,0.05228457467274221,2.0504040724925585
proposed_linear_gate_pbrs_seed123_t480k,123,6,0.38241459746448997,0.7009510199795081,0.07418947657078323,1.4373354593140333
proposed_linear_gate_pbrs_seed123_t480k,123,7,0.45631437908028527,0.6853310357516724,0.09503365473426209,1.0308281600122278
proposed_linear_gate_pbrs_seed123_t480k,123,8,0.460430860378344,0.6857069003450772,0.11400188411982845,0.9315865626987491
proposed_linear_gate_pbrs_seed321_t480k,321,4,0.2110118545554986,0.7926166829234831,0.034246769838021475,2.379863835942466
proposed_linear_gate_pbrs_seed321_t480k,321,5,0.26750475894785924,0.7391578377752648,0.05362457753057337,1.9386457889799475
proposed_linear_gate_pbrs_seed321_t480k,321,6,0.3998329564396053,0.6955261644709408,0.07548236332876614,1.2793200445098818
proposed_linear_gate_pbrs_seed321_t480k,321,7,0.49942075453668283,0.6810927555130935,0.0970151224762608,0.832303209474333
proposed_linear_gate_pbrs_seed321_t480k,321,8,0.5110258095200965,0.6833678567548689,0.11624007388940853,0.7253170570705134
proposed_linear_gate_pbrs_seed42_t480k,42,4,0.2142351565567719,0.7992726243779202,0.034070540638398414,2.442555144585614
proposed_linear_gate_pbrs_seed42_t480k,42,5,0.25365885490445783,0.7501185005466786,0.05185122018087285,2.1217540741855667
proposed_linear_gate_pbrs_seed42_t480k,42,6,0.35141636537496357,0.7088596945500908,0.07249219260455254,1.61370390878935
proposed_linear_gate_pbrs_seed42_t480k,42,7,0.395717632442044,0.6906475234840594,0.09267305277755152,1.255416307151095
proposed_linear_gate_pbrs_seed42_t480k,42,8,0.387981439429822,0.6874863894916418,0.11087533204600675,1.2081672794456682
