method,best_c8_success,best_worst_modality_sr,best_c8_closeness,min_c8_residual,best_progress,checkpoint_points
linear_gate_no_pbrs,0.9595744680851065,0.9404255319148936,0.9829787234042553,0.1361702127659574,0.9264562499999999,46
constant_gate_pbrs,0.948936170212766,0.9319148936170212,0.9835106382978723,0.13191489361702122,0.8605552083333333,46
external_pbrs,0.9418439716312057,0.9340425531914892,0.9801418439716312,0.15886524822695033,0.9476697916666666,46
proposed_linear_gate_pbrs,0.9113475177304965,0.8914893617021277,0.9702127659574468,0.23829787234042552,0.8387083333333333,46
