budget_label,target_steps,mmgag_mean_sr,c6_c8_mean,c8_mean
240k,240000,0.4836879432624113,0.5806146572104018,0.5843971631205673
480k,480000,0.6093617021276595,0.7985815602836879,0.9319148936170213
720k,720000,0.6008510638297873,0.7900709219858156,0.9106382978723403
