method,method_label,seed,best_val,final_val,drop_after_best,best_progress,hit_80_progress,c6_c8_train_best,c6_c8_train_best_progress
external_only,仅外部奖励,42,0.8540000000000001,0.8237149407114996,0.03028505928850045,0.8781770833333333,0.7341979166666667,0.4607447278568232,0.8911729166666666
external_only,仅外部奖励,123,0.9380000000000002,0.9141599184291128,0.02384008157088735,0.6929416666666667,0.5336854166666667,0.499840409191251,0.7494416666666667
external_only,仅外部奖励,321,0.9107142857142857,0.8711080794512841,0.0396062062630016,0.99844375,0.47193541666666666,0.474584081726227,0.9961666666666666
intrinsic_only,仅内在奖励,42,0.18200000000000002,0.12586535540109373,0.0561346445989063,0.054522916666666664,,0.017437743215023255,0.0637458333333333
intrinsic_only,仅内在奖励,123,0.14642857142857144,0.10069228432087497,0.04573628710769646,0.004735416666666666,,0.013805511644216463,0.01150625
intrinsic_only,仅内在奖励,321,0.08800000000000001,0.07448078675934378,0.013519213240656233,0.04142916666666667,,0.010097064866555325,0.0823666666666666
mixed_no_gate_no_pbrs,外部+内在直接相加,42,0.8961538461538462,0.8621207505275718,0.034033095626274434,1.0000020833333334,0.7894375,0.45484616130996924,0.9577020833333332
mixed_no_gate_no_pbrs,外部+内在直接相加,123,0.8923076923076922,0.8512058472335983,0.04110184507409398,1.0000020833333334,0.9020375,0.45241689211082375,0.9196229166666666
mixed_no_gate_no_pbrs,外部+内在直接相加,321,0.9785714285714285,0.9517763942514539,0.026795034319974653,0.9999520833333333,0.57823125,0.47759178422312243,0.99546875
mixed_gate_only,门控内在奖励,42,0.7653846153846154,0.7515879790039535,0.013796636380661975,1.0000020833333334,,0.46358407050223144,0.8893458333333333
mixed_gate_only,门控内在奖励,123,0.818,0.7695291247070856,0.048470875292914384,0.2241,0.21733541666666667,0.37093978131527144,0.8485666666666667
mixed_gate_only,门控内在奖励,321,0.9740000000000001,0.9494619573059415,0.02453804269405857,0.72100625,0.43865625,0.48174847775688695,0.87006875
mixed_pbrs_only,外部+内在+PBRS,42,0.5640000000000001,0.5369334588972595,0.027066541102740538,0.8719625,,0.3348103198000586,0.8938458333333333
mixed_pbrs_only,外部+内在+PBRS,123,0.9340909090909091,0.8995208546414998,0.034570054449409304,0.98066875,0.7797416666666667,0.4629887487396025,0.9223479166666668
mixed_pbrs_only,外部+内在+PBRS,321,0.616,0.5755278294169225,0.040472170583077505,0.5519541666666666,,0.36865955481726775,0.9988520833333332
proposed_linear_gate_pbrs,门控内在奖励+PBRS,42,0.7423076923076924,0.7236006082565152,0.01870708405117727,1.0000020833333334,,0.3993425825974978,0.9895854166666668
proposed_linear_gate_pbrs,门控内在奖励+PBRS,123,0.8825000000000001,0.8563849223700725,0.026115077629927597,0.9863666666666666,0.3395625,0.45863354371060017,0.8999291666666667
proposed_linear_gate_pbrs,门控内在奖励+PBRS,321,0.9928571428571428,0.9721954372329707,0.020661705624172022,0.9983625,0.4425354166666667,0.4967313938653556,0.9937979166666666
