method,method_label,run,mmgag_mean_sr,C4,C5,C6,C7,C8,C6-8
external_only,仅外部奖励,reward_external_only_seed321_t480k,0.5764539007092199,0.36170212765957444,0.4326241134751773,0.5801418439716312,0.7304964539007092,0.777304964539007,0.6959810874704492
intrinsic_only,仅内在奖励,reward_intrinsic_only_seed321_t480k,0.09191489361702122,0.15177304964539004,0.1063829787234042,0.07943262411347514,0.07517730496453896,0.046808510638297836,0.06713947990543731
mixed_no_gate_no_pbrs,外部+内在直接相加,reward_intrinsic_no_decay_seed321_t480k,0.5662411347517731,0.2524822695035461,0.3418439716312056,0.5815602836879432,0.8184397163120568,0.8368794326241135,0.7456264775413711
mixed_gate_only,门控内在奖励,param_pbrs_0_seed321_t480k,0.5821276595744681,0.2695035460992908,0.3716312056737588,0.5787234042553191,0.8482269503546099,0.8425531914893617,0.756501182033097
proposed_linear_gate_pbrs,门控内在奖励+PBRS,dataset_masa_plus_mmgag_seed321_t480k,0.6093617021276595,0.27234042553191484,0.37872340425531914,0.6212765957446807,0.8425531914893617,0.9319148936170213,0.7985815602836879
