method,method_label,value,run_name,checkpoint_name,run_progress,episode,time_step,n_modality,c8_success_mean,c8_success_std,c8_success_max,c8_sg_mean,c8_sg_min,c8_closeness_mean,c8_closeness_max,mmgag_aerial,mmgag_ground,mmgag_text,c8_success_envelope,c8_closeness_envelope,c8_sg_best_so_far
constant_gate_pbrs,常数门控+PBRS,constant_0.405_pb,gate_type_constant_0405_pbrs_seed321_t480k,geoexplorer_0.pt,0.0022708333333333,0.0,1090.0,3,0.12907801418439713,0.013000214737463357,0.1404255319148936,4.445390070921985,4.263829787234043,0.4443262411347518,0.46702127659574466,0.1148936170212766,0.1404255319148936,0.1319148936170212,0.12907801418439713,0.4443262411347518,4.445390070921985
constant_gate_pbrs,常数门控+PBRS,constant_0.405_pb,gate_type_constant_0405_pbrs_seed321_t480k,geoexplorer_50.pt,0.1151875,50.0,55290.0,3,0.27092198581560284,0.014944189720358516,0.2851063829787234,3.409929078014185,3.370212765957447,0.573758865248227,0.5787234042553191,0.2553191489361702,0.2851063829787234,0.2723404255319149,0.27092198581560284,0.573758865248227,3.409929078014185
constant_gate_pbrs,常数门控+PBRS,constant_0.405_pb,gate_type_constant_0405_pbrs_seed321_t480k,geoexplorer_100.pt,0.2267104166666666,100.0,108821.0,3,0.17304964539007087,0.019188296820522945,0.1914893617021276,2.717730496453901,2.6382978723404253,0.6602836879432624,0.6702127659574468,0.1914893617021276,0.1531914893617021,0.1744680851063829,0.27092198581560284,0.6602836879432624,2.717730496453901
constant_gate_pbrs,常数门控+PBRS,constant_0.405_pb,gate_type_constant_0405_pbrs_seed321_t480k,geoexplorer_150.pt,0.3383895833333333,150.0,162427.0,3,0.3517730496453901,0.056506622090899496,0.4170212765957446,1.8581560283687943,1.668085106382979,0.7677304964539008,0.7914893617021277,0.4170212765957446,0.3191489361702128,0.3191489361702128,0.3517730496453901,0.7677304964539008,1.8581560283687943
constant_gate_pbrs,常数门控+PBRS,constant_0.405_pb,gate_type_constant_0405_pbrs_seed321_t480k,geoexplorer_200.pt,0.44875,200.0,215400.0,3,0.47659574468085103,0.01125851621729612,0.4893617021276595,1.6567375886524822,1.5914893617021275,0.7929078014184398,0.8010638297872341,0.4893617021276595,0.4680851063829787,0.4723404255319149,0.47659574468085103,0.7929078014184398,1.6567375886524822
constant_gate_pbrs,常数门控+PBRS,constant_0.405_pb,gate_type_constant_0405_pbrs_seed321_t480k,geoexplorer_250.pt,0.558625,250.0,268140.0,3,0.6326241134751773,0.008858153189217568,0.6425531914893617,1.1687943262411347,1.0723404255319149,0.8539007092198582,0.8659574468085106,0.6425531914893617,0.6297872340425532,0.625531914893617,0.6326241134751773,0.8539007092198582,1.1687943262411347
constant_gate_pbrs,常数门控+PBRS,constant_0.405_pb,gate_type_constant_0405_pbrs_seed321_t480k,geoexplorer_300.pt,0.6680458333333333,300.0,320662.0,3,0.5659574468085107,0.02251703243459224,0.5829787234042553,1.4354609929078013,1.3702127659574468,0.8205673758865247,0.8287234042553191,0.5404255319148936,0.574468085106383,0.5829787234042553,0.6326241134751773,0.8539007092198582,1.1687943262411347
constant_gate_pbrs,常数门控+PBRS,constant_0.405_pb,gate_type_constant_0405_pbrs_seed321_t480k,geoexplorer_350.pt,0.7774291666666665,350.0,373166.0,3,0.7602836879432623,0.020990990903473405,0.774468085106383,0.75177304964539,0.6978723404255319,0.9060283687943262,0.9127659574468086,0.774468085106383,0.7702127659574468,0.7361702127659574,0.7602836879432623,0.9060283687943262,0.75177304964539
constant_gate_pbrs,常数门控+PBRS,constant_0.405_pb,gate_type_constant_0405_pbrs_seed321_t480k,geoexplorer_400.pt,0.88715,400.0,425832.0,3,0.8581560283687942,0.05147587889822424,0.8978723404255319,0.4312056737588652,0.3063829787234042,0.9460992907801419,0.9617021276595745,0.8765957446808511,0.8978723404255319,0.8,0.8581560283687942,0.9460992907801419,0.4312056737588652
constant_gate_pbrs,常数门控+PBRS,constant_0.405_pb,gate_type_constant_0405_pbrs_seed321_t480k,geoexplorer_450.pt,0.99589375,450.0,478029.0,3,0.8439716312056738,0.03619106616219314,0.8808510638297873,0.5333333333333333,0.4340425531914894,0.9333333333333332,0.9457446808510638,0.8808510638297873,0.8425531914893617,0.8085106382978723,0.8581560283687942,0.9460992907801419,0.4312056737588652
external_pbrs,外部奖励+PBRS,external_pbrs,reward_external_pbrs_seed321_t480k,geoexplorer_0.pt,0.0022708333333333,0.0,1090.0,3,0.12482269503546094,0.01965447724900856,0.1361702127659574,4.51063829787234,4.357446808510638,0.43617021276595747,0.4553191489361702,0.102127659574468,0.1361702127659574,0.1361702127659574,0.12482269503546094,0.43617021276595747,4.51063829787234
external_pbrs,外部奖励+PBRS,external_pbrs,reward_external_pbrs_seed321_t480k,geoexplorer_50.pt,0.11531458333333329,50.0,55351.0,3,0.16170212765957445,0.007370428968378194,0.1659574468085106,3.452482269503546,3.234042553191489,0.5684397163120568,0.5957446808510638,0.1659574468085106,0.1531914893617021,0.1659574468085106,0.16170212765957445,0.5684397163120568,3.452482269503546
external_pbrs,外部奖励+PBRS,external_pbrs,reward_external_pbrs_seed321_t480k,geoexplorer_100.pt,0.2266145833333333,100.0,108775.0,3,0.17872340425531916,0.03685214484189099,0.2212765957446808,2.3659574468085105,2.25531914893617,0.7042553191489361,0.7180851063829787,0.2212765957446808,0.1574468085106383,0.1574468085106383,0.17872340425531916,0.7042553191489361,2.3659574468085105
external_pbrs,外部奖励+PBRS,external_pbrs,reward_external_pbrs_seed321_t480k,geoexplorer_150.pt,0.337375,150.0,161940.0,3,0.5446808510638298,0.022517032434592292,0.5702127659574469,1.3957446808510638,1.2765957446808511,0.825531914893617,0.8404255319148937,0.5702127659574469,0.5361702127659574,0.5276595744680851,0.5446808510638298,0.825531914893617,1.3957446808510638
external_pbrs,外部奖励+PBRS,external_pbrs,reward_external_pbrs_seed321_t480k,geoexplorer_200.pt,0.4476458333333333,200.0,214870.0,3,0.7035460992907802,0.03193852552963886,0.7361702127659574,0.8709219858156029,0.7829787234042553,0.8911347517730497,0.902127659574468,0.7361702127659574,0.6723404255319149,0.7021276595744681,0.7035460992907802,0.8911347517730497,0.8709219858156029
external_pbrs,外部奖励+PBRS,external_pbrs,reward_external_pbrs_seed321_t480k,geoexplorer_250.pt,0.5574291666666666,250.0,267566.0,3,0.7886524822695035,0.02896535866193213,0.8212765957446808,0.652482269503546,0.5702127659574469,0.9184397163120567,0.9287234042553192,0.8212765957446808,0.7787234042553192,0.7659574468085106,0.7886524822695035,0.9184397163120567,0.652482269503546
external_pbrs,外部奖励+PBRS,external_pbrs,reward_external_pbrs_seed321_t480k,geoexplorer_300.pt,0.6668229166666667,300.0,320075.0,3,0.7574468085106383,0.036357462746032035,0.7957446808510639,0.7631205673758865,0.6042553191489362,0.9046099290780142,0.924468085106383,0.7957446808510639,0.7531914893617021,0.723404255319149,0.7886524822695035,0.9184397163120567,0.652482269503546
external_pbrs,外部奖励+PBRS,external_pbrs,reward_external_pbrs_seed321_t480k,geoexplorer_350.pt,0.7767479166666668,350.0,372839.0,3,0.7390070921985815,0.024568096561260626,0.7531914893617021,0.8368794326241135,0.7829787234042553,0.8953900709219859,0.902127659574468,0.7531914893617021,0.7531914893617021,0.7106382978723405,0.7886524822695035,0.9184397163120567,0.652482269503546
external_pbrs,外部奖励+PBRS,external_pbrs,reward_external_pbrs_seed321_t480k,geoexplorer_400.pt,0.8865270833333333,400.0,425533.0,3,0.8368794326241135,0.06678727584109817,0.8893617021276595,0.4652482269503546,0.3404255319148936,0.9418439716312057,0.9574468085106383,0.8893617021276595,0.8595744680851064,0.7617021276595745,0.8368794326241135,0.9418439716312057,0.4652482269503546
external_pbrs,外部奖励+PBRS,external_pbrs,reward_external_pbrs_seed321_t480k,geoexplorer_450.pt,0.9953583333333332,450.0,477772.0,3,0.8723404255319149,0.03212695504370533,0.902127659574468,0.41702127659574467,0.3148936170212766,0.9478723404255319,0.9606382978723405,0.8765957446808511,0.902127659574468,0.8382978723404255,0.8723404255319149,0.9478723404255319,0.41702127659574467
linear_gate_no_pbrs,线性门控，无PBRS,linear_0.405_no_pb,linear_0405_no_pb_g1_p0_e1_v1_seed321_t480k,geoexplorer_0.pt,0.0022708333333333,0.0,1090.0,3,0.09645390070921979,0.006500107368731691,0.102127659574468,4.507801418439716,4.365957446808511,0.4365248226950354,0.45425531914893613,0.102127659574468,0.0893617021276595,0.0978723404255319,0.09645390070921979,0.4365248226950354,4.507801418439716
linear_gate_no_pbrs,线性门控，无PBRS,linear_0.405_no_pb,linear_0405_no_pb_g1_p0_e1_v1_seed321_t480k,geoexplorer_50.pt,0.1152395833333333,50.0,55315.0,3,0.076595744680851,0.015342771384953158,0.0893617021276595,3.253900709219858,3.174468085106383,0.5932624113475177,0.6031914893617021,0.0595744680851063,0.0893617021276595,0.0808510638297872,0.09645390070921979,0.5932624113475177,3.253900709219858
linear_gate_no_pbrs,线性门控，无PBRS,linear_0.405_no_pb,linear_0405_no_pb_g1_p0_e1_v1_seed321_t480k,geoexplorer_100.pt,0.2265541666666666,100.0,108746.0,3,0.6085106382978723,0.01950032210619509,0.6297872340425532,1.2879432624113474,1.148936170212766,0.8390070921985816,0.8563829787234043,0.6042553191489362,0.6297872340425532,0.5914893617021276,0.6085106382978723,0.8390070921985816,1.2879432624113474
linear_gate_no_pbrs,线性门控，无PBRS,linear_0.405_no_pb,linear_0405_no_pb_g1_p0_e1_v1_seed321_t480k,geoexplorer_150.pt,0.3371958333333333,150.0,161854.0,3,0.37588652482269497,0.02768683871764982,0.4042553191489361,1.8553191489361704,1.702127659574468,0.7680851063829787,0.7872340425531915,0.3744680851063829,0.4042553191489361,0.3489361702127659,0.6085106382978723,0.8390070921985816,1.2879432624113474
