method,episode,run_progress,time_step,modality_count,c8_success,worst_modality_sr,best_modality_sr,c8_residual_distance,worst_residual_distance,c8_closeness,c8_success_envelope,worst_modality_sr_envelope,c8_closeness_envelope,c8_residual_envelope
constant_gate_pbrs,0,0.0022708333333333,1090.0,3,0.12907801418439713,0.1148936170212766,0.1404255319148936,4.445390070921986,4.723404255319149,0.4443262411347517,0.12907801418439713,0.1148936170212766,0.4443262411347517,4.445390070921986
constant_gate_pbrs,10,0.0252083333333333,12100.0,3,0.18014184397163113,0.1659574468085106,0.1872340425531914,3.6822695035460993,3.753191489361702,0.5397163120567376,0.18014184397163113,0.1659574468085106,0.5397163120567376,3.6822695035460993
constant_gate_pbrs,20,0.04797291666666661,23027.0,3,0.19574468085106378,0.1829787234042553,0.2170212765957447,3.50354609929078,3.574468085106383,0.5620567375886525,0.19574468085106378,0.1829787234042553,0.5620567375886525,3.50354609929078
constant_gate_pbrs,30,0.0703625,33774.0,3,0.13475177304964533,0.1319148936170212,0.1361702127659574,3.443971631205674,3.48936170212766,0.5695035460992908,0.19574468085106378,0.1829787234042553,0.5695035460992908,3.443971631205674
constant_gate_pbrs,40,0.09290625000000001,44595.0,3,0.18297872340425525,0.1744680851063829,0.1914893617021276,3.421276595744681,3.4638297872340424,0.5723404255319149,0.19574468085106378,0.1829787234042553,0.5723404255319149,3.421276595744681
constant_gate_pbrs,50,0.1151875,55290.0,3,0.27092198581560284,0.2553191489361702,0.2851063829787234,3.409929078014184,3.4553191489361703,0.5737588652482271,0.27092198581560284,0.2553191489361702,0.5737588652482271,3.409929078014184
constant_gate_pbrs,60,0.1373979166666666,65951.0,3,0.2836879432624113,0.2680851063829787,0.2936170212765957,3.2085106382978723,3.2425531914893617,0.598936170212766,0.2836879432624113,0.2680851063829787,0.598936170212766,3.2085106382978723
constant_gate_pbrs,70,0.1595166666666666,76568.0,3,0.07659574468085101,0.0723404255319148,0.0808510638297872,3.707801418439716,3.761702127659575,0.5365248226950354,0.2836879432624113,0.2680851063829787,0.598936170212766,3.2085106382978723
constant_gate_pbrs,80,0.1818895833333333,87307.0,3,0.31489361702127655,0.2893617021276595,0.3489361702127659,2.981560283687943,3.0042553191489363,0.6273049645390072,0.31489361702127655,0.2893617021276595,0.6273049645390072,2.981560283687943
constant_gate_pbrs,90,0.2041354166666666,97985.0,3,0.1687943262411347,0.1617021276595744,0.1744680851063829,2.9617021276595743,3.021276595744681,0.6297872340425532,0.31489361702127655,0.2893617021276595,0.6297872340425532,2.9617021276595743
constant_gate_pbrs,100,0.2267104166666666,108821.0,3,0.17304964539007087,0.1531914893617021,0.1914893617021276,2.717730496453901,2.765957446808511,0.6602836879432623,0.31489361702127655,0.2893617021276595,0.6602836879432623,2.717730496453901
constant_gate_pbrs,110,0.24905625,119547.0,3,0.1489361702127659,0.1404255319148936,0.1617021276595744,2.570212765957447,2.646808510638298,0.6787234042553192,0.31489361702127655,0.2893617021276595,0.6787234042553192,2.570212765957447
constant_gate_pbrs,120,0.2714895833333333,130315.0,3,0.17163120567375886,0.1531914893617021,0.2,2.4567375886524823,2.502127659574468,0.6929078014184398,0.31489361702127655,0.2893617021276595,0.6929078014184398,2.4567375886524823
constant_gate_pbrs,130,0.2936854166666666,140969.0,3,0.2553191489361702,0.2085106382978723,0.3191489361702128,2.391489361702128,2.4851063829787234,0.701063829787234,0.31489361702127655,0.2893617021276595,0.701063829787234,2.391489361702128
constant_gate_pbrs,140,0.3159145833333333,151639.0,3,0.32056737588652484,0.2765957446808511,0.3574468085106383,2.0,2.0170212765957447,0.75,0.32056737588652484,0.2893617021276595,0.75,2.0
constant_gate_pbrs,150,0.3383895833333333,162427.0,3,0.3517730496453901,0.3191489361702128,0.4170212765957446,1.8581560283687943,1.974468085106383,0.7677304964539007,0.3517730496453901,0.3191489361702128,0.7677304964539007,1.8581560283687943
constant_gate_pbrs,160,0.3607458333333333,173158.0,3,0.39716312056737585,0.3659574468085106,0.4595744680851064,1.7815602836879432,1.872340425531915,0.7773049645390071,0.39716312056737585,0.3659574468085106,0.7773049645390071,1.7815602836879432
constant_gate_pbrs,170,0.3827166666666666,183704.0,3,0.524822695035461,0.5063829787234042,0.548936170212766,1.4411347517730497,1.5404255319148936,0.8198581560283688,0.524822695035461,0.5063829787234042,0.8198581560283688,1.4411347517730497
constant_gate_pbrs,180,0.4042291666666666,194030.0,3,0.45673758865248226,0.451063829787234,0.4638297872340425,1.7361702127659575,1.8127659574468085,0.7829787234042553,0.524822695035461,0.5063829787234042,0.8198581560283688,1.4411347517730497
constant_gate_pbrs,190,0.42649374999999995,204717.0,3,0.5475177304964539,0.5191489361702127,0.5617021276595745,1.3588652482269505,1.446808510638298,0.8301418439716312,0.5475177304964539,0.5191489361702127,0.8301418439716312,1.3588652482269505
constant_gate_pbrs,200,0.44875,215400.0,3,0.47659574468085103,0.4680851063829787,0.4893617021276595,1.6567375886524822,1.6936170212765955,0.7929078014184398,0.5475177304964539,0.5191489361702127,0.8301418439716312,1.3588652482269505
constant_gate_pbrs,210,0.47037708333333333,225781.0,3,0.5588652482269504,0.502127659574468,0.5872340425531914,1.469503546099291,1.5914893617021275,0.8163120567375887,0.5588652482269504,0.5191489361702127,0.8301418439716312,1.3588652482269505
constant_gate_pbrs,220,0.49251249999999996,236406.0,3,0.47375886524822697,0.4170212765957446,0.5319148936170213,1.7872340425531916,1.9829787234042555,0.776595744680851,0.5588652482269504,0.5191489361702127,0.8301418439716312,1.3588652482269505
constant_gate_pbrs,230,0.5145458333333334,246982.0,3,0.5645390070921985,0.4893617021276595,0.6085106382978723,1.4751773049645391,1.676595744680851,0.8156028368794326,0.5645390070921985,0.5191489361702127,0.8301418439716312,1.3588652482269505
constant_gate_pbrs,240,0.5364354166666667,257489.0,3,0.5446808510638298,0.4978723404255319,0.5829787234042553,1.4099290780141842,1.4638297872340424,0.823758865248227,0.5645390070921985,0.5191489361702127,0.8301418439716312,1.3588652482269505
constant_gate_pbrs,250,0.558625,268140.0,3,0.6326241134751772,0.625531914893617,0.6425531914893617,1.1687943262411347,1.225531914893617,0.8539007092198582,0.6326241134751772,0.625531914893617,0.8539007092198582,1.1687943262411347
constant_gate_pbrs,260,0.5805104166666667,278645.0,3,0.6907801418439715,0.6638297872340425,0.7319148936170212,0.9531914893617022,1.0297872340425531,0.8808510638297873,0.6907801418439715,0.6638297872340425,0.8808510638297873,0.9531914893617022
constant_gate_pbrs,270,0.6025083333333333,289204.0,3,0.5432624113475177,0.5191489361702127,0.574468085106383,1.39290780141844,1.4638297872340424,0.825886524822695,0.6907801418439715,0.6638297872340425,0.8808510638297873,0.9531914893617022
constant_gate_pbrs,280,0.6240666666666667,299552.0,3,0.700709219858156,0.6553191489361702,0.7276595744680852,0.9333333333333332,1.0893617021276596,0.8833333333333333,0.700709219858156,0.6638297872340425,0.8833333333333333,0.9333333333333332
constant_gate_pbrs,290,0.6462166666666667,310184.0,3,0.6482269503546099,0.5829787234042553,0.6851063829787234,1.1574468085106382,1.3787234042553191,0.8553191489361702,0.700709219858156,0.6638297872340425,0.8833333333333333,0.9333333333333332
