method,points,last_progress,last_step,best_val_success,best_val_sr,best_progress,last_rolling_success_ratio,late_policy_loss_abs,late_value_loss,late_entropy,late_kl_abs
constant_gate_pbrs,453,1.0,480001,20.0,1.0,0.8214958333333333,0.3263586956521739,0.0026323598746686274,0.924579381942749,0.33284806379595316,0.0010294794673478109
proposed_linear_gate_pbrs,453,1.0,480001,20.0,1.0,0.7736395833333334,0.3241847826086956,0.0031076665872315913,0.9050796579670262,0.3192491422633867,0.001226742121685176
linear_gate_no_pbrs,454,1.0,480001,20.0,1.0,0.5172125,0.3092391304347826,0.003155367447011192,0.9149457680943766,0.31601044839542164,0.0013566064039295944
external_pbrs,454,1.0,480001,20.0,1.0,0.6316083333333333,0.3081521739130435,0.002626817287780653,0.942479882585375,0.29597693113119977,0.0009083394457087536
