method,method_label,checkpoint_name,run_progress,episode,time_step,n_seed,overall_success_mean,overall_success_max,c6_c8_success_mean,c6_c8_success_max,c6_success_mean,c6_success_max,c7_success_mean,c7_success_max,c8_success_mean,c8_success_std,c8_success_max,c8_sg_mean,c8_sg_min,c8_closeness_mean,c8_closeness_max,c8_success_envelope,c8_closeness_envelope,c8_sg_best_so_far
mixed_no_gate_no_pbrs,外部+内在直接相加,geoexplorer_50.pt,0.11539027777777777,50.0,55446.0,3,0.1644444444444444,0.24,0.11930555555555555,0.16625,0.19333333333333336,0.28,0.12291666666666667,0.19375,0.041666666666666664,0.014433756729740642,0.05,3.216666666666667,3.05,0.5979166666666667,0.61875,0.125,0.61875,3.05
mixed_no_gate_no_pbrs,外部+内在直接相加,geoexplorer_100.pt,0.22658541666666662,100.0,108731.0,3,0.4811111111111111,0.5533333333333333,0.4580555555555555,0.5504166666666667,0.47833333333333333,0.5325,0.5125000000000001,0.61875,0.3833333333333333,0.11273124382057235,0.5,1.8,1.5,0.775,0.8125,0.5,0.8125,1.5
mixed_no_gate_no_pbrs,外部+内在直接相加,geoexplorer_150.pt,0.33732291666666664,150.0,161941.0,3,0.5355555555555555,0.5566666666666666,0.5469444444444445,0.5758333333333333,0.5158333333333333,0.54,0.5833333333333334,0.6,0.5416666666666666,0.1127312438205724,0.65,1.3833333333333335,1.05,0.8270833333333334,0.86875,0.65,0.86875,1.05
mixed_no_gate_no_pbrs,外部+内在直接相加,geoexplorer_200.pt,0.4480291666666667,200.0,215145.0,3,0.5033333333333333,0.5333333333333333,0.4945833333333333,0.5579166666666666,0.49416666666666664,0.505,0.5395833333333333,0.59375,0.45,0.1089724735885168,0.575,1.8333333333333333,1.35,0.7708333333333334,0.83125,0.65,0.86875,1.05
mixed_no_gate_no_pbrs,外部+内在直接相加,geoexplorer_250.pt,0.5582069444444445,250.0,267979.0,3,0.543888888888889,0.5716666666666667,0.5706944444444444,0.5983333333333333,0.5099999999999999,0.5325,0.61875,0.6625,0.5833333333333334,0.052041649986653345,0.625,1.3166666666666667,1.1,0.8354166666666667,0.8625,0.65,0.86875,1.05
mixed_no_gate_no_pbrs,外部+内在直接相加,geoexplorer_300.pt,0.6678305555555556,300.0,320567.0,3,0.5405555555555556,0.57,0.5819444444444445,0.61125,0.49583333333333335,0.5275,0.6333333333333333,0.65625,0.6166666666666667,0.08036375634160793,0.675,1.05,0.85,0.86875,0.89375,0.675,0.89375,0.85
mixed_no_gate_no_pbrs,外部+内在直接相加,geoexplorer_350.pt,0.7772916666666667,350.0,373059.0,3,0.5983333333333333,0.6083333333333333,0.6779166666666666,0.6841666666666667,0.5358333333333333,0.55,0.7062499999999999,0.71875,0.7916666666666666,0.038188130791298666,0.825,0.5166666666666667,0.5,0.9354166666666667,0.9375,0.825,0.9375,0.5
mixed_no_gate_no_pbrs,外部+内在直接相加,geoexplorer_400.pt,0.8871284722222222,400.0,425643.0,3,0.5994444444444444,0.6116666666666667,0.6605555555555556,0.6695833333333333,0.5483333333333333,0.565,0.6916666666666668,0.69375,0.7416666666666667,0.014433756729740618,0.75,0.65,0.55,0.9187500000000001,0.93125,0.825,0.9375,0.5
mixed_no_gate_no_pbrs,外部+内在直接相加,geoexplorer_450.pt,0.9958548611111112,450.0,477756.0,3,0.6416666666666667,0.65,0.7358333333333333,0.75625,0.5741666666666666,0.575,0.75,0.76875,0.8833333333333333,0.038188130791298645,0.925,0.3666666666666667,0.25,0.9541666666666666,0.96875,0.925,0.96875,0.25
mixed_pbrs_only,外部+内在+PBRS,geoexplorer_0.pt,0.002272916666666633,0.0,1090.0,3,0.08555555555555554,0.1283333333333333,0.08569444444444445,0.13166666666666668,0.08833333333333333,0.1325,0.07708333333333334,0.1125,0.09166666666666666,0.05204164998665331,0.15,4.816666666666666,3.8,0.3979166666666667,0.525,0.15,0.525,3.8
mixed_pbrs_only,外部+内在+PBRS,geoexplorer_50.pt,0.11565694444444441,50.0,55377.0,3,0.13444444444444445,0.145,0.10013888888888889,0.125,0.16083333333333333,0.1725,0.08958333333333333,0.1125,0.05000000000000001,0.04330127018922193,0.1,3.233333333333333,3.15,0.5958333333333333,0.60625,0.15,0.60625,3.15
mixed_pbrs_only,外部+内在+PBRS,geoexplorer_100.pt,0.22687222222222214,100.0,108869.0,3,0.38166666666666665,0.43,0.3154166666666666,0.3825,0.4066666666666667,0.435,0.3729166666666666,0.4625,0.16666666666666666,0.08779711460710615,0.25,2.85,2.4,0.6437499999999999,0.7,0.25,0.7,2.4
mixed_pbrs_only,外部+内在+PBRS,geoexplorer_150.pt,0.33789166666666665,150.0,162172.0,3,0.425,0.4916666666666666,0.38833333333333336,0.4808333333333333,0.44416666666666665,0.4925,0.4041666666666666,0.5,0.31666666666666665,0.20966242709015206,0.45,2.4499999999999997,1.8,0.69375,0.775,0.45,0.775,1.8
mixed_pbrs_only,外部+内在+PBRS,geoexplorer_200.pt,0.4484729166666666,200.0,215239.0,3,0.45555555555555555,0.5266666666666666,0.4261111111111111,0.4970833333333334,0.46166666666666667,0.535,0.4666666666666666,0.53125,0.35000000000000003,0.12990381056766578,0.425,2.4499999999999997,1.95,0.69375,0.75625,0.45,0.775,1.8
mixed_pbrs_only,外部+内在+PBRS,geoexplorer_250.pt,0.5588465277777778,250.0,268209.0,3,0.4855555555555555,0.5383333333333333,0.45694444444444443,0.5141666666666667,0.49583333333333335,0.5425,0.4833333333333334,0.55,0.39166666666666666,0.14648663192705788,0.5,1.9333333333333333,1.4,0.7583333333333333,0.825,0.5,0.825,1.4
mixed_pbrs_only,外部+内在+PBRS,geoexplorer_300.pt,0.6684895833333333,300.0,320810.0,3,0.4822222222222223,0.4833333333333333,0.45236111111111105,0.4770833333333333,0.4883333333333333,0.505,0.49374999999999997,0.50625,0.375,0.09013878188659974,0.45,2.1999999999999997,1.6,0.725,0.8,0.5,0.825,1.4
mixed_pbrs_only,外部+内在+PBRS,geoexplorer_350.pt,0.7779944444444444,350.0,373210.0,3,0.4811111111111111,0.5483333333333333,0.4793055555555555,0.6179166666666666,0.47750000000000004,0.4975,0.49374999999999997,0.63125,0.4666666666666666,0.22407216099581256,0.725,1.9000000000000001,0.8,0.7625000000000001,0.9,0.725,0.9,0.8
mixed_pbrs_only,外部+内在+PBRS,geoexplorer_400.pt,0.88800625,400.0,425911.0,3,0.523888888888889,0.5716666666666667,0.5211111111111112,0.6045833333333334,0.5133333333333333,0.5325,0.5583333333333333,0.65625,0.4916666666666667,0.11814539065631516,0.625,1.75,1.05,0.78125,0.86875,0.725,0.9,0.8
mixed_pbrs_only,外部+内在+PBRS,geoexplorer_450.pt,0.9971986111111111,450.0,478445.0,3,0.5416666666666666,0.665,0.5579166666666667,0.73375,0.5216666666666666,0.6075,0.5854166666666667,0.76875,0.5666666666666667,0.22407216099581254,0.825,1.5999999999999999,0.55,0.7999999999999999,0.93125,0.825,0.93125,0.55
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,geoexplorer_0.pt,0.002272916666666633,0.0,1090.0,3,0.09111111111111107,0.1433333333333333,0.09430555555555555,0.14666666666666667,0.09333333333333334,0.1525,0.08125,0.1125,0.10833333333333334,0.05773502691896257,0.175,4.8,3.9,0.39999999999999997,0.5125,0.175,0.5125,3.9
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,geoexplorer_50.pt,0.11550763888888886,50.0,55488.0,3,0.14166666666666664,0.1833333333333333,0.11083333333333334,0.16666666666666666,0.16583333333333333,0.2,0.10000000000000002,0.15,0.06666666666666667,0.07637626158259733,0.15,3.3833333333333333,3.2,0.5770833333333333,0.6,0.175,0.6,3.2
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,geoexplorer_100.pt,0.22692361111111112,100.0,108867.0,3,0.41722222222222216,0.4933333333333333,0.3973611111111112,0.5066666666666667,0.42333333333333334,0.4825,0.41875,0.5125,0.35000000000000003,0.18874586088176876,0.525,2.15,1.65,0.7312500000000001,0.79375,0.525,0.79375,1.65
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,geoexplorer_150.pt,0.3377590277777778,150.0,161942.0,3,0.5533333333333333,0.655,0.5654166666666667,0.71125,0.5275,0.6025,0.61875,0.75625,0.5499999999999999,0.27041634565979916,0.775,1.4833333333333334,0.65,0.8145833333333332,0.91875,0.775,0.91875,0.65
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,geoexplorer_200.pt,0.4476368055555555,200.0,214675.0,3,0.5938888888888889,0.6083333333333333,0.622361111111111,0.6683333333333333,0.5608333333333334,0.59,0.6645833333333333,0.7,0.6416666666666666,0.09464847243000458,0.75,1.1666666666666667,0.6,0.8541666666666666,0.925,0.775,0.925,0.6
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,geoexplorer_250.pt,0.5573423611111111,250.0,267276.0,3,0.5511111111111111,0.59,0.5543055555555555,0.63125,0.54,0.5625,0.5812499999999999,0.6625,0.5416666666666666,0.23228933107943925,0.7,1.5333333333333332,0.85,0.8083333333333332,0.89375,0.775,0.925,0.6
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,geoexplorer_300.pt,0.6667979166666665,300.0,319630.0,3,0.5794444444444444,0.61,0.5988888888888889,0.6625,0.555,0.5625,0.6333333333333333,0.7,0.6083333333333333,0.1258305739211792,0.725,1.2833333333333332,0.7,0.8395833333333332,0.9125,0.775,0.925,0.6
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,geoexplorer_350.pt,0.7759833333333334,350.0,372050.0,3,0.5994444444444444,0.6333333333333333,0.6309722222222223,0.6979166666666666,0.5616666666666666,0.6025,0.68125,0.78125,0.65,0.13228756555322954,0.75,1.1500000000000001,0.55,0.8562500000000001,0.93125,0.775,0.93125,0.55
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,geoexplorer_400.pt,0.8854659722222222,400.0,424680.0,3,0.5988888888888889,0.6383333333333333,0.6440277777777778,0.7066666666666667,0.555,0.5875,0.6854166666666667,0.775,0.6916666666666668,0.12332207155790613,0.775,1.0333333333333334,0.65,0.8708333333333332,0.91875,0.775,0.93125,0.55
proposed_linear_gate_pbrs,本文方法：门控内在+PBRS,geoexplorer_450.pt,0.9943180555555555,450.0,477116.0,3,0.6438888888888888,0.695,0.7223611111111111,0.7925,0.5858333333333333,0.6275,0.7395833333333334,0.80625,0.8416666666666667,0.1282900359861721,0.95,0.55,0.1,0.93125,0.9875,0.95,0.9875,0.1
