method,final_progress,final_time_step,final_c8_success,final_worst_modality_sr,final_c8_residual_distance,final_rank
linear_gate_no_pbrs,0.9913802083333332,951725.0,0.9326241134751774,0.9,0.24397163120567375,1
constant_gate_pbrs,0.9908666666666668,951232.0,0.9290780141843972,0.8914893617021277,0.20425531914893616,2
external_pbrs,0.9908458333333332,951212.0,0.9163120567375888,0.8808510638297873,0.2780141843971631,3
proposed_linear_gate_pbrs,0.990975,951336.0,0.8326241134751773,0.7936170212765957,0.5035460992907802,4
