method,best_c8_success,best_worst_modality_sr,best_c8_closeness,min_c8_residual,best_progress,checkpoint_points
proposed_linear_gate_pbrs,0.9262411347517729,0.9234042553191488,0.9716312056737588,0.22695035460992907,0.9960708333333331,46
external_pbrs,0.873758865248227,0.8425531914893617,0.9531914893617022,0.3744680851063829,0.9736270833333333,46
linear_gate_no_pbrs,0.8609929078014185,0.8212765957446808,0.9539007092198581,0.3687943262411348,0.9725875,46
constant_gate_pbrs,0.8581560283687942,0.8297872340425532,0.948936170212766,0.4085106382978723,0.88715,46
