method,late_mean_c8_success,late_max_c8_success,late_min_c8_success,late_mean_worst_modality_sr,late_mean_residual_distance,checkpoint_points,late_mean_rank
constant_gate_pbrs,0.9208140610545791,0.948936170212766,0.8638297872340427,0.8773358001850139,0.22460684551341348,23,1
external_pbrs,0.9075855689176688,0.9418439716312057,0.8716312056737588,0.8833487511563368,0.27295713845205055,23,2
linear_gate_no_pbrs,0.8967930928152945,0.9595744680851065,0.8113475177304964,0.8551341350601295,0.29386370644465,23,3
proposed_linear_gate_pbrs,0.8630588960838729,0.9113475177304965,0.7964539007092197,0.830804810360777,0.3714461917977181,23,4
