G_gate,P_pbrs,mean,std,min,max,count
0,0,0.521017,0.060880325125062584,0.434966,0.571923,4
0,1,0.4436,0.0645289458821905,0.354716,0.501352,4
1,0,0.54653425,0.051098197439668445,0.483483,0.58964,4
1,1,0.517578,0.10571933146150077,0.384833,0.621102,4
