run,group,trainset_key,seed,target_steps,benchmark,sr,sg,d4,d5,d6,d7,d8,checkpoint
reward_intrinsic_only_seed321_t480k,reward_control,masa_plus_mmgag,321,480000,xbd_pre_aerial,0.1241,3.89275,0.167,0.1415,0.1395,0.09525,0.07725,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/reward_intrinsic_only_seed321_t480k/geoexplorer.pt
reward_intrinsic_only_seed321_t480k,reward_control,masa_plus_mmgag,321,480000,xbd_disaster_aerial,0.1262,3.86355,0.17,0.13675,0.1385,0.103,0.08275,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/reward_intrinsic_only_seed321_t480k/geoexplorer.pt
reward_intrinsic_no_decay_seed321_t480k,reward_control,masa_plus_mmgag,321,480000,masa_aerial,0.568,1.184,0.32,0.22,0.54,0.82,0.94,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/reward_intrinsic_no_decay_seed321_t480k/geoexplorer.pt
reward_intrinsic_no_decay_seed321_t480k,reward_control,masa_plus_mmgag,321,480000,mmgag_aerial,0.5770212765957446,1.2314893617021276,0.25957446808510637,0.35319148936170214,0.5829787234042553,0.8340425531914893,0.8553191489361702,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/reward_intrinsic_no_decay_seed321_t480k/geoexplorer.pt
reward_intrinsic_no_decay_seed321_t480k,reward_control,masa_plus_mmgag,321,480000,mmgag_ground,0.5897872340425532,1.152340425531915,0.2425531914893617,0.33617021276595743,0.6042553191489362,0.8638297872340426,0.902127659574468,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/reward_intrinsic_no_decay_seed321_t480k/geoexplorer.pt
reward_intrinsic_no_decay_seed321_t480k,reward_control,masa_plus_mmgag,321,480000,mmgag_text,0.5319148936170213,1.374468085106383,0.2553191489361702,0.33617021276595743,0.5574468085106383,0.7574468085106383,0.7531914893617021,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/reward_intrinsic_no_decay_seed321_t480k/geoexplorer.pt
reward_intrinsic_no_decay_seed321_t480k,reward_control,masa_plus_mmgag,321,480000,swissview100_aerial,0.55,1.3656,0.32,0.362,0.546,0.738,0.784,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/reward_intrinsic_no_decay_seed321_t480k/geoexplorer.pt
reward_intrinsic_no_decay_seed321_t480k,reward_control,masa_plus_mmgag,321,480000,swissviewmonuments_aerial,0.49098039215686273,1.5082352941176471,0.312,0.4388888888888889,0.6066666666666667,0.6944444444444444,0.7333333333333333,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/reward_intrinsic_no_decay_seed321_t480k/geoexplorer.pt
reward_intrinsic_no_decay_seed321_t480k,reward_control,masa_plus_mmgag,321,480000,swissviewmonuments_ground,0.48705882352941177,1.5050980392156863,0.288,0.4388888888888889,0.6,0.7166666666666667,0.7666666666666667,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/reward_intrinsic_no_decay_seed321_t480k/geoexplorer.pt
reward_intrinsic_no_decay_seed321_t480k,reward_control,masa_plus_mmgag,321,480000,xbd_pre_aerial,0.56295,1.30725,0.2895,0.37025,0.58025,0.7665,0.80825,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/reward_intrinsic_no_decay_seed321_t480k/geoexplorer.pt
reward_intrinsic_no_decay_seed321_t480k,reward_control,masa_plus_mmgag,321,480000,xbd_disaster_aerial,0.57145,1.304,0.30925,0.38825,0.5935,0.76325,0.803,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/reward_intrinsic_no_decay_seed321_t480k/geoexplorer.pt
