timestamp,episode,time_step,current_ep_reward,rolling_avg_reward,episode_successes,rolling_success_ratio,avg_steps_recent,avg_deviation_recent,val_success,best_val_success,policy_loss,value_loss,entropy,approx_kl,clip_fraction,oracle_bc_loss,sil_loss,update_epochs_ran,actor_lr,critic_lr,reward_factor,reward_mode,progress_metric,elapsed_sec
2026-05-19T11:30:49.633774,0,1090,-641.7918697103268,-641.7918697103268,16,0.08695652173913043,2.625,1.125,2,2,-0.005577510560397014,1.0165055096149445,1.13958540558815,0.0016744914290029549,0.0,0.0,0.0,4,9.999000000000001e-05,9.999000000000001e-05,1.0,in,l2sq,39.19127368927002
2026-05-19T11:31:11.926863,1,2196,-663.9542555179603,-652.8730626141435,21,0.10054347826086957,2.72972972972973,1.0810810810810811,2,2,-0.0025020789689733647,1.002948321402073,1.1524822413921356,0.0004024644671517391,0.0,0.0,0.0,4,9.997500199995001e-05,9.997500199995001e-05,1.0,in,l2sq,61.48460149765015
2026-05-19T11:31:47.414876,2,3360,-650.0839659543639,-650.0839659543639,20,0.10326086956521739,3.1052631578947367,1.1578947368421053,5,5,-0.0029642109380801918,1.0047103390097618,1.133591428399086,-0.00038550468743780986,0.0,0.0,0.0,4,9.995500799930005e-05,9.995500799930005e-05,1.0,in,l2sq,96.97244334220886
2026-05-19T11:32:10.066612,3,4489,-621.1512838400013,-635.6176248971826,22,0.10733695652173914,3.240506329113924,1.1898734177215189,5,5,-0.0011441603403909428,1.0186005532741547,1.1151336133480072,0.0003454766669165072,0.0,0.0,0.0,4,9.993501799725028e-05,9.993501799725028e-05,1.0,in,l2sq,119.62436151504517
2026-05-19T11:32:34.853785,4,5554,-585.3965398741371,-585.3965398741371,20,0.10760869565217392,3.1515151515151514,1.1717171717171717,4,5,-0.0011931121378438991,0.9940001517534256,1.1099845170974731,-0.00018011212669083454,0.0,0.0,0.0,4,9.992002799440073e-05,9.992002799440073e-05,1.0,in,l2sq,144.41160798072815
2026-05-19T11:32:56.765578,5,6649,-628.8766617969283,-607.1366008355327,23,0.1105072463768116,3.278688524590164,1.2622950819672132,5,5,-0.002047300753474701,1.004951074719429,1.1191501170396805,0.00010623789912643511,0.0,0.0,0.0,4,9.990504048980171e-05,9.990504048980171e-05,1.0,in,l2sq,166.32337284088135
2026-05-19T11:33:23.654071,6,7791,-634.0132342635396,-634.0132342635396,23,0.1125776397515528,3.2,1.186206896551724,4,5,-0.0016842141631059349,1.0136666744947433,1.1103224605321884,-2.0620749273767003e-05,0.0,0.0,0.0,4,9.988506048075416e-05,9.988506048075416e-05,1.0,in,l2sq,193.2118444442749
2026-05-19T11:33:45.840848,7,8870,-633.4061279128196,-633.7096810881797,21,0.11277173913043478,3.1325301204819276,1.0963855421686748,5,5,-0.002058001636760287,1.0242986679077148,1.09296315908432,0.0010179841512581306,0.0,0.0,0.0,4,9.987007797140718e-05,9.987007797140718e-05,1.0,in,l2sq,215.39857578277588
2026-05-19T11:34:18.803142,8,9940,-537.949216877044,-537.949216877044,28,0.11714975845410629,3.154639175257732,1.0206185567010309,5,5,-0.002313072280958256,1.0097244083881378,1.0895313620567322,0.00035118220348522716,0.0,0.0,0.0,4,9.985509795906185e-05,9.985509795906185e-05,1.0,in,l2sq,248.36068630218506
2026-05-19T11:34:41.042551,9,11017,-615.4759557672746,-576.7125863221593,19,0.11576086956521739,3.245,1.03,5,5,-0.0025421965430723614,0.980633333325386,1.053849771618843,0.001277746705454788,0.0,0.0,0.0,4,9.983512793802104e-05,9.983512793802104e-05,1.0,in,l2sq,270.60034680366516
2026-05-19T11:35:18.990334,10,12100,-615.844597794057,-615.844597794057,17,0.11363636363636363,3.34,1.03,6,6,-0.0020171172975096963,1.0020121484994888,1.0307088792324066,0.0006065146822948342,0.0,0.0,0.0,4,9.982015291843063e-05,9.982015291843063e-05,1.0,in,l2sq,308.5478935241699
2026-05-19T11:35:42.524886,11,13228,-604.9656592175371,-610.405128505797,19,0.11277173913043478,3.235,0.9,6,6,-0.00045372238837443346,0.9895422235131264,1.0118192434310913,0.0009916560167766986,0.0,0.0,0.0,4,9.980518039459364e-05,9.980518039459364e-05,1.0,in,l2sq,332.08266496658325
2026-05-19T11:36:18.233609,12,14322,-539.4879166255009,-539.4879166255009,27,0.11538461538461539,3.365,0.96,6,6,-0.0011555278753803688,0.9979938194155693,0.9975571483373642,-0.00017776150089049425,0.0,0.0,0.0,4,9.978522035656652e-05,9.978522035656652e-05,1.0,in,l2sq,367.79113936424255
2026-05-19T11:36:41.439200,13,15433,-581.0985919995903,-560.2932543125456,22,0.11568322981366459,3.445,0.97,6,6,-0.0017013345262967133,0.9694277495145798,1.0035473182797432,0.000642556091042884,0.0,0.0,0.0,4,9.976526431034742e-05,9.976526431034742e-05,1.0,in,l2sq,390.9969606399536
2026-05-19T11:37:07.468434,14,16519,-622.8577458813205,-622.8577458813205,18,0.1144927536231884,3.39,0.88,5,6,-0.0018474579323083384,0.9786864817142487,0.9801759719848633,0.0004565788942272886,0.0,0.0,0.0,4,9.97502997701265e-05,9.97502997701265e-05,1.0,in,l2sq,417.0262305736542
2026-05-19T11:37:30.032449,15,17616,-625.8442364072805,-624.3509911443005,22,0.11480978260869565,3.51,0.94,6,6,-0.001972288316755999,0.9912891909480095,0.9451583251357079,2.286052258572424e-05,0.0,0.0,0.0,4,9.973533772391248e-05,9.973533772391248e-05,1.0,in,l2sq,439.5901882648468
2026-05-19T11:38:02.548972,16,18667,-551.8927360879784,-551.8927360879784,22,0.11508951406649616,3.625,1.01,8,8,-0.0009616591181810796,1.0331614315509796,0.9350591599941254,0.0005719472832425021,0.0,0.0,0.0,4,9.971539165372108e-05,9.971539165372108e-05,1.0,in,l2sq,472.1065831184387
2026-05-19T11:38:24.593462,17,19742,-564.9811831843257,-558.4369596361521,21,0.11503623188405797,3.735,1.06,8,8,-0.001542028822586694,1.031106948852539,0.9299305826425552,0.0006633627330302483,0.0,0.0,0.0,4,9.970043459427396e-05,9.970043459427396e-05,1.0,in,l2sq,494.1512463092804
2026-05-19T11:38:50.752460,18,20841,-546.667907653214,-546.667907653214,28,0.1169908466819222,3.655,0.99,7,8,-0.000677167266530887,0.9544369280338287,0.9428106024861336,-0.0002902355370679177,0.0,0.0,0.0,4,9.968548002758701e-05,9.968548002758701e-05,1.0,in,l2sq,520.3102400302887
2026-05-19T11:39:14.057283,19,21973,-586.5690891869071,-566.6184984200606,27,0.11847826086956521,3.72,0.99,8,8,-0.001475486937124515,1.0015452951192856,0.9175849556922913,4.3208296654009826e-05,0.0,0.0,0.0,4,9.966554392843628e-05,9.966554392843628e-05,1.0,in,l2sq,543.615051984787
2026-05-19T11:39:50.267525,20,23027,-476.8584232774386,-476.8584232774386,36,0.12391304347826088,3.725,0.92,8,8,-0.002295187191339032,0.987237736582756,0.9025817662477493,0.0013489504344761372,0.0,0.0,0.0,4,9.965059434602333e-05,9.965059434602333e-05,1.0,in,l2sq,579.8251056671143
2026-05-19T11:40:12.842466,21,24125,-544.6982738430495,-510.778348560244,26,0.1252717391304348,3.775,0.87,8,8,-0.001585202328078572,0.993725523352623,0.9001286998391151,0.002013558994804038,0.0,0.0,0.0,4,9.96356472551244e-05,9.96356472551244e-05,1.0,in,l2sq,602.4001681804657
2026-05-19T11:40:38.476860,22,25196,-520.884188966394,-520.884188966394,31,0.1282608695652174,3.74,0.81,6,8,-0.0011762917252781113,1.0245448499917984,0.8504150956869125,-0.00016120169211716884,0.0,0.0,0.0,4,9.961572112202985e-05,9.961572112202985e-05,1.0,in,l2sq,628.0346803665161
2026-05-19T11:41:00.498849,23,26259,-525.9763279463052,-523.4302584563496,25,0.12907608695652173,3.815,0.82,8,8,-0.002113712049322203,0.9721786826848984,0.8566820323467255,0.0009234090148311225,0.0,0.0,0.0,4,9.959579897396266e-05,9.959579897396266e-05,1.0,in,l2sq,650.0565958023071
2026-05-19T11:41:34.294551,24,27344,-497.4328248211742,-497.4328248211742,37,0.13369565217391305,3.895,0.88,8,8,-0.0030191839381590313,0.9976826012134552,0.8697937726974487,-0.000252144339538074,0.0,0.0,0.0,4,9.958085985311852e-05,9.958085985311852e-05,1.0,in,l2sq,683.8523304462433
2026-05-19T11:41:57.035475,25,28434,-563.6408399230244,-530.5368323720993,28,0.13505434782608697,4.1,0.95,8,8,-0.0013808693962346352,0.9698226377367973,0.8696163520216942,0.0005770463903900271,0.0,0.0,0.0,4,9.956592322204485e-05,9.956592322204485e-05,1.0,in,l2sq,706.5932393074036
