timestamp,episode,time_step,current_ep_reward,rolling_avg_reward,episode_successes,rolling_success_ratio,avg_steps_recent,avg_deviation_recent,val_success,best_val_success,policy_loss,value_loss,entropy,approx_kl,clip_fraction,oracle_bc_loss,sil_loss,update_epochs_ran,actor_lr,critic_lr,reward_factor,reward_mode,progress_metric,elapsed_sec
2026-05-19T14:32:02.807778,0,1090,-406.24691139655164,-406.24691139655164,16,0.08695652173913043,2.625,1.125,1,1,-0.005372494633775204,1.0203463584184647,1.1397114098072052,0.0010621654044371091,0.0,0.0,0.0,4,9.999000000000001e-05,9.999000000000001e-05,1.0,in,l2sq,28.28965950012207
2026-05-19T14:32:24.552752,1,2196,-450.7777608992805,-428.5123361479161,21,0.10054347826086957,2.72972972972973,1.0810810810810811,1,1,-0.002508789367857367,0.9969073385000229,1.1558735072612762,7.426134543493668e-05,0.0,0.0,0.0,4,9.997500199995001e-05,9.997500199995001e-05,1.0,in,l2sq,50.034613370895386
2026-05-19T14:32:56.861652,2,3355,-441.02811834230124,-441.02811834230124,19,0.10144927536231885,2.9642857142857144,1.1071428571428572,5,5,-0.0022856958647025916,0.9750214666128159,1.1317252665758133,-0.00020735816287925646,0.0,0.0,0.0,4,9.995500799930005e-05,9.995500799930005e-05,1.0,in,l2sq,82.34334063529968
2026-05-19T14:33:20.666950,3,4489,-396.9939539063243,-419.0110361243128,20,0.10326086956521739,2.8684210526315788,1.0,5,5,-0.0012934238038724288,1.0103842318058014,1.1239182502031326,0.0007227964604680955,0.0,0.0,0.0,4,9.993501799725028e-05,9.993501799725028e-05,1.0,in,l2sq,106.14884066581726
2026-05-19T14:33:52.486484,4,5559,-385.78243799607674,-385.78243799607674,21,0.10543478260869565,3.0,1.0721649484536082,5,5,-0.0016789138666354342,1.0186430215835571,1.1102825701236725,-3.655561085907921e-05,0.0,0.0,0.0,4,9.992002799440073e-05,9.992002799440073e-05,1.0,in,l2sq,137.968177318573
2026-05-19T14:34:16.093769,5,6690,-452.7974584004876,-419.28994819828216,15,0.10144927536231885,3.2589285714285716,1.2678571428571428,5,5,-0.0015223480884742346,0.9768096134066582,1.1010550558567047,-0.0008001949561730927,0.0,0.0,0.0,4,9.990504048980171e-05,9.990504048980171e-05,1.0,in,l2sq,161.57565212249756
2026-05-19T14:34:49.162070,6,7842,-421.710850587432,-421.710850587432,22,0.10403726708074534,3.3656716417910446,1.3134328358208955,6,6,-0.002032215197687093,0.9598833248019218,1.089365467429161,0.0002948770350485186,0.0,0.0,0.0,4,9.988506048075416e-05,9.988506048075416e-05,1.0,in,l2sq,194.6438057422638
2026-05-19T14:35:10.596880,7,8918,-383.2842568454751,-402.4975537164536,20,0.10461956521739131,3.357142857142857,1.2727272727272727,6,6,-0.001658499985933315,0.9743937700986862,1.0795220136642456,0.0006442203928600232,0.0,0.0,0.0,4,9.987007797140718e-05,9.987007797140718e-05,1.0,in,l2sq,216.07878518104553
2026-05-19T14:35:48.529342,8,10011,-394.4378871327286,-394.4378871327286,19,0.10446859903381643,3.3815028901734103,1.2485549132947977,7,7,-0.0018932465754915029,1.0041820779442787,1.0491914749145508,0.0007097242574673063,0.0,0.0,0.0,4,9.985509795906185e-05,9.985509795906185e-05,1.0,in,l2sq,254.01101446151733
2026-05-19T14:36:09.804087,9,11073,-392.1065898850922,-393.2722385089104,19,0.10434782608695652,3.40625,1.2916666666666667,7,7,-0.0018003523720836467,0.9651801958680153,1.0299010872840881,0.0008398168843996232,0.0,0.0,0.0,4,9.983512793802104e-05,9.983512793802104e-05,1.0,in,l2sq,275.2860152721405
