method,n,success_rate,final_distance,path_length,detour_steps,progress_ratio,monotonic_step_rate,regress_step_rate,immediate_backtrack_rate,revisit_rate,unique_coverage
GOMAA-Geo,735,0.42448979591836733,1.8204081632653062,8.506122448979593,3.363265306122449,0.5904761904761905,0.7379931972789116,0.26200680272108845,0.15791383219954647,0.14090958172590826,0.8590904182740917
GeoExplorer-anchor0624,735,0.4448979591836735,1.7959183673469388,8.378231292517007,3.235374149659864,0.5920634920634921,0.745827664399093,0.254172335600907,0.13402440341215852,0.1259121830550402,0.8740878169449599
GeoExplorer-pristine,735,0.4122448979591837,1.8666666666666667,8.438095238095238,3.295238095238095,0.5972789115646259,0.7384353741496599,0.2615646258503401,0.14254616132167153,0.13552041307143348,0.8644795869285665
