method,distance,n,success_rate,final_distance,path_length,detour_steps,progress_ratio,monotonic_step_rate,regress_step_rate,immediate_backtrack_rate,revisit_rate,unique_coverage
GOMAA-Geo,4,375,0.25066666666666665,2.5653333333333332,8.762666666666666,4.762666666666667,0.3586666666666667,0.6306666666666667,0.36933333333333335,0.19514074074074073,0.17374506974506973,0.8262549302549302
GOMAA-Geo,6,300,0.59,1.08,8.153333333333334,2.1533333333333333,0.82,0.8350833333333333,0.16491666666666666,0.1237037037037037,0.11047138047138047,0.8895286195286195
GOMAA-Geo,8,60,0.6833333333333333,0.8666666666666667,8.666666666666666,0.6666666666666666,0.8916666666666667,0.9233333333333333,0.07666666666666667,0.0962962962962963,0.08787878787878788,0.9121212121212121
GeoExplorer-anchor0624,4,375,0.25066666666666665,2.5866666666666664,8.666666666666666,4.666666666666667,0.35333333333333333,0.6346222222222222,0.3653777777777778,0.17955555555555555,0.172983164983165,0.827016835016835
GeoExplorer-anchor0624,6,300,0.6066666666666667,1.0866666666666667,8.013333333333334,2.013333333333333,0.8188888888888889,0.842,0.158,0.09317460317460317,0.08316498316498316,0.9168350168350169
GeoExplorer-anchor0624,8,60,0.85,0.4,8.4,0.4,0.95,0.96,0.04,0.053703703703703705,0.045454545454545456,0.9545454545454546
GeoExplorer-pristine,4,375,0.3333333333333333,2.2453333333333334,8.432,4.432,0.43866666666666665,0.6609333333333334,0.3390666666666667,0.1579089947089947,0.14974122174122173,0.8502587782587783
GeoExplorer-pristine,6,300,0.47333333333333333,1.54,8.373333333333333,2.3733333333333335,0.7433333333333333,0.8023333333333333,0.19766666666666666,0.1274074074074074,0.1215151515151515,0.8784848484848485
GeoExplorer-pristine,8,60,0.6,1.1333333333333333,8.8,0.8,0.8583333333333333,0.9033333333333333,0.09666666666666666,0.12222222222222222,0.11666666666666667,0.8833333333333333
