method,n,success_rate,final_distance,path_length,detour_steps,progress_ratio,regress_step_rate,immediate_backtrack_rate,revisit_rate,c4_total_n,c4_success_rate,c4_failure_rate
GOMAA-Geo,281,0.0,3.4234875444839856,10.0,6.0,0.14412811387900357,0.4711743772241993,0.25108738631870303,0.2245228081527014,375,0.25066666666666665,0.7493333333333334
GeoExplorer-anchor0624,281,0.0,3.4519572953736657,10.0,6.0,0.13701067615658363,0.47259786476868326,0.23606168446026096,0.22808152701391135,375,0.25066666666666665,0.7493333333333334
GeoExplorer-pristine,250,0.0,3.368,10.0,6.0,0.158,0.4684,0.2288888888888889,0.2167272727272727,375,0.3333333333333333,0.6666666666666667
