timestamp,episode,time_step,current_ep_reward,rolling_avg_reward,episode_successes,rolling_success_ratio,avg_steps_recent,avg_deviation_recent,val_success,best_val_success,policy_loss,value_loss,entropy,approx_kl,clip_fraction,oracle_bc_loss,sil_loss,update_epochs_ran,actor_lr,critic_lr,reward_factor,reward_mode,progress_metric,elapsed_sec
2026-05-15T09:55:39.607756,0,1090,-369.92552052641844,-369.92552052641844,16,0.08695652173913043,2.625,1.125,1,1,-0.0053871096461080015,1.0203830003738403,1.1398435235023499,0.0011367620434612029,0.0,0.0,0.0,4,9.999000000000001e-05,9.999000000000001e-05,1.0,in,l2sq,31.38114356994629
2026-05-15T09:56:02.589108,1,2194,-399.8316807646724,-384.8786006455454,21,0.10054347826086957,2.675675675675676,1.027027027027027,1,1,-0.0025274668718339166,0.992092914879322,1.1553692817687988,4.4596009229284916e-05,0.0,0.0,0.0,4,9.997500199995001e-05,9.997500199995001e-05,1.0,in,l2sq,54.36286115646362
2026-05-15T09:56:38.222966,2,3355,-393.73040616049127,-393.73040616049127,19,0.10144927536231885,2.9642857142857144,1.1071428571428572,5,5,-0.0024192674958612714,0.972218282520771,1.137544497847557,-0.00021223183330221218,0.0,0.0,0.0,4,9.995500799930005e-05,9.995500799930005e-05,1.0,in,l2sq,89.99650621414185
2026-05-15T09:57:02.173498,3,4489,-365.9765543895491,-379.85348027502016,19,0.10190217391304347,2.8933333333333335,1.0133333333333334,5,5,-0.0014583647352538476,1.0005436018109322,1.1240843385457993,0.0006200366518896785,0.0,0.0,0.0,4,9.993501799725028e-05,9.993501799725028e-05,1.0,in,l2sq,113.94729542732239
2026-05-15T09:57:28.167067,4,5559,-343.71941425379333,-343.71941425379333,20,0.10326086956521739,2.957894736842105,1.0736842105263158,4,5,-0.0017980174132390392,1.0151734948158264,1.1124272346496582,-0.00023940174287417904,0.0,0.0,0.0,4,9.992002799440073e-05,9.992002799440073e-05,1.0,in,l2sq,139.9408597946167
2026-05-15T09:57:51.704498,5,6690,-409.3188564327032,-376.5191353432483,17,0.10144927536231885,3.2589285714285716,1.2857142857142858,5,5,-0.001319843550300015,0.9840238615870476,1.1023547500371933,-0.0006029096620295271,0.0,0.0,0.0,4,9.990504048980171e-05,9.990504048980171e-05,1.0,in,l2sq,163.4782919883728
2026-05-15T09:58:30.084153,6,7842,-383.04597699992894,-383.04597699992894,23,0.1048136645962733,3.3925925925925924,1.3185185185185184,6,6,-0.002974552690284349,0.973432794213295,1.0943569988012314,0.0012058157837600003,0.0,0.0,0.0,4,9.988506048075416e-05,9.988506048075416e-05,1.0,in,l2sq,201.85770654678345
2026-05-15T09:58:52.425817,7,8920,-320.41658963478085,-351.7312833173549,29,0.11141304347826086,3.3963414634146343,1.329268292682927,6,6,-0.0011509508098243026,0.9103654474020004,1.0595690608024597,1.7217809727299027e-05,0.0,0.0,0.0,4,9.987007797140718e-05,9.987007797140718e-05,1.0,in,l2sq,224.19954919815063
2026-05-15T09:59:18.819090,8,10014,-351.0583658657575,-351.0583658657575,20,0.1111111111111111,3.385869565217391,1.315217391304348,5,6,-0.0013533279427064837,1.0056858584284782,1.0437260568141937,0.0007844538476092372,0.0,0.0,0.0,4,9.985509795906185e-05,9.985509795906185e-05,1.0,in,l2sq,250.592839717865
2026-05-15T09:59:40.635988,9,11067,-320.06991968056474,-335.5641427731611,26,0.11413043478260869,3.455,1.32,6,6,-0.0010942105509457178,0.9648274257779121,1.0789913535118103,-0.00018482035093258034,0.0,0.0,0.0,4,9.983512793802104e-05,9.983512793802104e-05,1.0,in,l2sq,272.4097182750702
2026-05-15T10:00:06.657950,10,12144,-315.5095351443288,-315.5095351443288,23,0.11511857707509882,3.61,1.37,3,6,-0.002194181137019857,0.9936835020780563,1.0714691877365112,0.00011592237351578522,0.0,0.0,0.0,4,9.982015291843063e-05,9.982015291843063e-05,1.0,in,l2sq,298.4317059516907
2026-05-15T10:00:30.180414,11,13278,-371.2362588889996,-343.3728970166642,15,0.11231884057971014,3.59,1.37,6,6,-0.0012138169418903222,0.9757143035531044,1.073502317070961,0.0005232064688698301,0.0,0.0,0.0,4,9.980518039459364e-05,9.980518039459364e-05,1.0,in,l2sq,321.95418095588684
2026-05-15T10:00:55.806226,12,14338,-275.3274030728384,-275.3274030728384,29,0.11580267558528429,3.665,1.43,5,6,-0.0013135410932591518,0.9663983136415482,1.0838284939527512,-1.4028959412812347e-05,0.0,0.0,0.0,4,9.978522035656652e-05,9.978522035656652e-05,1.0,in,l2sq,347.5800132751465
